[20:10:27] start results/CTOC14_Result_TEAM.txt sc13: m0 997.04, fuel 390.69, flybys 27
[20:10:36]   it   0: fuel  389.18 kg, max miss     1186.0 km, median    614.6, rho      150, acc a=0.05 (7.2 s)
[20:10:39]   it   1: fuel  387.06 kg, max miss     3444.3 km, median   1726.5, rho      105, acc a=0.10 (2.7 s)
[20:10:44]   it   2: fuel  385.17 kg, max miss     5097.7 km, median   2592.8, rho      158, acc a=0.07 (4.7 s)
[20:10:46]   it   3: fuel  382.55 kg, max miss     8450.3 km, median   4116.2, rho      110, acc a=0.13 (2.6 s)
[20:10:51]   it   4: fuel  380.23 kg, max miss    10909.5 km, median   5311.0, rho      165, acc a=0.09 (4.6 s)
[20:10:53]   it   5: fuel  377.02 kg, max miss    15841.4 km, median   7324.5, rho      116, acc a=0.18 (2.5 s)
[20:10:58]   it   6: fuel  374.21 kg, max miss    19446.4 km, median   8901.7, rho      174, acc a=0.12 (5.0 s)
[20:11:01]   it   7: fuel  370.34 kg, max miss    26591.7 km, median  11440.4, rho      122, acc a=0.24 (2.5 s)
[20:11:05]   it   8: fuel  367.00 kg, max miss    31758.1 km, median  13404.9, rho      182, acc a=0.16 (4.5 s)
[20:11:08]   it   9: fuel  362.44 kg, max miss    41889.1 km, median  16362.0, rho      128, acc a=0.32 (2.7 s)
[20:11:13]   it  10: fuel  358.56 kg, max miss    49003.2 km, median  18586.3, rho      191, acc a=0.21 (4.7 s)
[20:11:15]   it  11: fuel  353.35 kg, max miss    62887.6 km, median  21436.5, rho      134, acc a=0.42 (2.6 s)
[20:11:20]   it  12: fuel  349.02 kg, max miss    72055.6 km, median  23525.1, rho      201, acc a=0.28 (4.5 s)
[20:11:22]   it  13: fuel  343.30 kg, max miss    90274.8 km, median  25587.7, rho      141, acc a=0.56 (2.5 s)
[20:11:27]   it  14: fuel  339.18 kg, max miss    94556.4 km, median  25905.7, rho      211, acc a=0.33 (5.1 s)
[20:11:30]   it  15: fuel  333.81 kg, max miss   106813.8 km, median  26946.7, rho      148, acc a=0.67 (2.7 s)
[20:11:34]   it  16: fuel  330.54 kg, max miss   100229.5 km, median  25158.4, rho      222, acc a=0.33 (4.2 s)
[20:11:37]   it  17: fuel  326.28 kg, max miss    94342.3 km, median  22722.5, rho      155, acc a=0.67 (2.6 s)
[20:11:41]   it  18: fuel  323.62 kg, max miss    85781.1 km, median  20764.5, rho      233, acc a=0.33 (4.4 s)
[20:11:44]   it  19: fuel  320.14 kg, max miss    75401.8 km, median  17853.0, rho      163, acc a=0.67 (2.5 s)
[20:11:48]   it  20: fuel  317.94 kg, max miss    68231.3 km, median  16326.9, rho      244, acc a=0.33 (4.5 s)
[20:11:51]   it  21: fuel  315.06 kg, max miss    59129.0 km, median  14014.0, rho      171, acc a=0.67 (2.5 s)
[20:11:56]   it  22: fuel  313.26 kg, max miss    53479.0 km, median  12797.9, rho      257, acc a=0.33 (5.1 s)
[20:11:59]   it  23: fuel  310.88 kg, max miss    46050.2 km, median  10897.0, rho      180, acc a=0.67 (2.7 s)
[20:12:03]   it  24: fuel  309.38 kg, max miss    42059.7 km, median  10061.7, rho      269, acc a=0.33 (4.4 s)
[20:12:06]   it  25: fuel  307.41 kg, max miss    37016.9 km, median   8771.0, rho      189, acc a=0.67 (2.5 s)
[20:12:10]   it  26: fuel  306.13 kg, max miss    34316.4 km, median   8288.4, rho      283, acc a=0.33 (4.5 s)
