id,a_au,e,i_deg,Omega_deg,omega_deg,M0_deg,q_au,Q_au,period_d,period_yr,n_rad_s,n_deg_per_day,r_asc_node_au,r_desc_node_au,lon_asc_node_deg,lon_desc_node_deg,crosses_annulus_0p7_1p5,crosses_band_0p8_1p6,retrograde,r_at_t0_au,z_at_t0_au,r_min_window_au,t_r_min_mjd,date_r_min,r_max_window_au,t_r_max_mjd,date_r_max,zabs_max_window_au,n_perihelion_passages,perihelion_dates_mjd,n_asc_crossings,n_desc_crossings,n_ecliptic_crossings,n_node_crossings_in_band,n_node_crossings_0p6_2p0,asc_crossings_mjd_r,desc_crossings_mjd_r,moid_au,moid_km,moid_r_helio_au,moid_lon_deg,moid_z_au,d_earth_min_window_au,d_earth_min_window_km,t_d_earth_min_mjd,date_d_earth_min,v_rel_earth_at_min_kms,n_earth_approaches_lt_0p10au,n_earth_approaches_lt_0p05au,n_earth_approaches_lt_0p02au,days_in_band,frac_in_band,days_accessible,frac_accessible,n_access_windows,v_rel_earth_min_kms,v_rel_earth_max_kms,difficulty,note
1,1.7689528,0.4232224,22.14242,336.03924,27.87452,252.06689,1.0202923505,2.5176132495,859.355368573,2.35278677227,8.4623957475e-08,0.418918660621,1.05675314326,2.32008851026,336.03924,156.03924,True,True,False,1.91538688664,0.330776890263,1.0202923505,65754.4237804,2038-11-27,2.5176132495,62746.6799904,2030-09-02,0.750247184225,6,63176.36;64035.71;64895.07;65754.42;66613.78;67473.13,6,7,13,6,6,63151.34:1.057;64010.70:1.057;64870.05:1.057;65729.41:1.057;66588.76:1.057;67448.12:1.057,62605.83:2.320;63465.18:2.320;64324.54:2.320;65183.89:2.320;66043.25:2.320;66902.60:2.320;67761.96:2.320,0.0429662427688,6427658.4302,1.05169063013,337.873702637,0.0136984953716,0.668567199527,100016229.469,63177.870721,2031-11-07,22.5292671167,0,0,0,1527.79085683,0.278857559996,163.477621133,0.0298384889132,6,6.7801622224,64.0912476116,hard,
2,1.9810687,0.6361991,6.66957,294.34257,237.01137,28.07406,0.720714576022,3.24142282398,1018.46880517,2.78841561989,7.1403318194e-08,0.353471798227,1.80419196186,0.875845731894,294.34257,114.34257,True,True,False,3.04695016499,0.234415483915,0.720714576022,63157.5138483,2031-10-18,3.24142282398,63666.7482508,2033-03-10,0.338624663327,5,63157.51;64175.98;65194.45;66212.92;67231.39,5,5,10,5,10,63287.20:1.804;64305.67:1.804;65324.14:1.804;66342.61:1.804;67361.08:1.804,63125.81:0.876;64144.28:0.876;65162.75:0.876;66181.21:0.876;67199.68:0.876,0.0283169269961,4236151.98338,0.976703314741,100.467069998,0.0273783718919,0.130490038855,19521031.9603,66175.5252781,2040-01-22,13.6436767519,0,0,0,848.383862579,0.154849895063,691.405351766,0.126197645771,10,2.61001041758,72.284044235,easy,
3,2.2005608,0.8591108,17.51489,260.13526,243.26877,129.82319,0.310035250663,4.09108634934,1192.33552961,3.26443676827,6.0991264925e-08,0.301928434623,0.939408354225,0.415735809989,260.13526,80.13526,True,True,False,4.06677829334,1.06766674644,0.310035250663,63154.6910537,2031-10-15,4.09108634934,62558.5232888,2030-02-26,1.11897385032,5,63154.69;64347.03;65539.36;66731.70;67924.03,5,5,10,5,5,63192.74:0.939;64385.07:0.939;65577.41:0.939;66769.74:0.939;67962.08:0.939,63144.68:0.416;64337.02:0.416;65529.35:0.416;66721.69:0.416;67914.03:0.416,0.0185037699799,2768124.58891,1.01309950217,263.363600688,0.018002222833,0.23036978112,34462828.7291,65584.8870657,2038-06-10,24.4154419607,0,0,0,493.932384342,0.0901542111507,155.978647687,0.0284697508897,5,9.87266019138,100.432502204,moderate,
4,1.2714646,0.8896723,22.31053,265.09881,322.30016,301.48582,0.140277764949,2.40265143505,523.666553598,1.43372088596,1.3887091254e-07,0.687460364857,0.155569080425,0.895329019951,265.09881,85.09881,True,True,False,2.20326288738,0.60461811064,0.140277764949,63379.782656,2032-05-27,2.40265143505,62594.2828256,2030-04-03,0.605439079469,10,62856.12;63379.78;63903.45;64427.12;64950.78;65474.45;65998.12;66521.78;67045.45;67569.12,10,10,20,10,10,62857.68:0.156;63381.35:0.156;63905.02:0.156;64428.68:0.156;64952.35:0.156;65476.02:0.156;65999.68:0.156;66523.35:0.156;67047.02:0.156;67570.68:0.156,62823.38:0.895;63347.05:0.895;63870.71:0.895;64394.38:0.895;64918.05:0.895;65441.71:0.895;65965.38:0.895;66489.05:0.895;67012.71:0.895;67536.38:0.895,0.0186723603553,2793345.35009,0.980557000987,82.5084293004,0.0181819265953,0.366830709924,54877093.112,65422.8730031,2037-12-30,24.6788462904,0,0,0,1136.34444292,0.207409435167,322.955789762,0.0589469842139,10,6.79849345163,138.278019218,hard,
5,1.0838865,0.4771016,37.03321,295.27177,104.98562,38.79575,0.566762516632,1.60101048337,412.16787347,1.12845413681,1.7643794397e-07,0.873430519874,0.954979016943,0.745228928478,295.27177,115.27177,True,True,False,1.34039874373,-0.742471739398,0.566762516632,62804.2538223,2030-10-30,1.60101048337,62598.1698855,2030-04-07,0.948674159052,13,62804.25;63216.42;63628.59;64040.76;64452.93;64865.09;65277.26;65689.43;66101.60;66513.76;66925.93;67338.10;67750.27,13,13,26,13,26,62748.05:0.955;63160.22:0.955;63572.38:0.955;63984.55:0.955;64396.72:0.955;64808.89:0.955;65221.05:0.955;65633.22:0.955;66045.39:0.955;66457.56:0.955;66869.73:0.955;67281.89:0.955;67694.06:0.955,62836.80:0.745;63248.97:0.745;63661.14:0.745;64073.31:0.745;64485.48:0.745;64897.64:0.745;65309.81:0.745;65721.98:0.745;66134.15:0.745;66546.32:0.745;66958.48:0.745;67370.65:0.745;67782.82:0.745,0.0482083686476,7211869.29961,0.981548288533,292.898508929,-0.0306504305668,0.0738362704875,11045748.8454,65628.9931436,2038-07-24,22.3002947243,1,0,0,4300.41130578,0.784925631901,285.960854093,0.0521945432977,26,12.1693656807,77.448617121,hard,
6,1.6213702,0.6575603,24.37798,77.51847,77.93611,211.44116,0.555221524877,2.68751887512,754.087439256,2.06457888913,9.6437161502e-08,0.477398218375,0.809115161942,1.06694514054,77.51847,257.51847,True,True,False,2.41553832765,-0.847526874016,0.555221524877,66035.7089556,2039-09-04,2.68751887512,62642.315479,2030-05-21,1.09321651503,7,63019.36;63773.45;64527.53;65281.62;66035.71;66789.80;67543.88,7,7,14,14,14,62985.91:0.809;63740.00:0.809;64494.09:0.809;65248.17:0.809;66002.26:0.809;66756.35:0.809;67510.44:0.809,63074.84:1.067;63828.93:1.067;64583.01:1.067;65337.10:1.067;66091.19:1.067;66845.28:1.067;67599.36:1.067,0.0242652643245,3630031.87492,1.02820336184,254.893403483,0.0213353479622,0.712523377123,106591980.042,63060.7030371,2031-07-13,43.4633854317,0,0,0,1043.85710375,0.190528332877,311.957295374,0.0569395017794,14,16.5216529301,80.8424221789,hard,
7,2.0774415,0.5069959,43.64693,19.88008,5.84705,90.73316,1.02418717701,3.13069582299,1093.68342789,2.99434203392,6.6492780554e-08,0.329162891948,1.02598296037,3.11403490945,19.88008,199.88008,True,True,False,3.10038782103,0.0768956793229,1.02418717701,65299.0855075,2037-08-29,3.13069582299,66939.6106494,2042-02-24,1.31220280512,5,63111.72;64205.40;65299.09;66392.77;67486.45,5,5,10,5,5,63106.70:1.026;64200.39:1.026;65294.07:1.026;66387.75:1.026;67481.44:1.026,62518.24:3.114;63611.92:3.114;64705.61:3.114;65799.29:3.114;66892.97:3.114,0.0274123258881,4100825.5838,1.02593975082,19.9312475808,0.000873924827306,0.824534442805,123348596.962,63116.2040856,2031-09-07,34.5751065007,0,0,0,1128.34553791,0.205949447942,69.9904188338,0.0127748882197,5,6.82579596631,49.5822192444,hard,
8,1.7533776,0.4398616,42.03945,310.13923,6.97434,316.90227,0.98213412346,2.52462107654,848.0307649,2.32178169719,8.5754025887e-08,0.424512900829,0.984359192853,2.51003644744,310.13923,130.13923,True,True,False,2.47219057369,0.183729535228,0.98213412346,62997.5843102,2031-05-11,2.52462107654,62573.5689277,2030-03-13,1.11902409284,6,62997.58;63845.62;64693.65;65541.68;66389.71;67237.74,6,7,13,6,6,62991.84:0.984;63839.87:0.984;64687.90:0.984;65535.93:0.984;66383.96:0.984;67231.99:0.984,62535.79:2.510;63383.82:2.510;64231.85:2.510;65079.88:2.510;65927.91:2.510;66775.94:2.510;67623.97:2.510,0.0321285775851,4806366.79535,0.98443896396,310.04729512,-0.00142424458376,0.131469670528,19667582.7727,66383.2378703,2040-08-17,24.3659525101,0,0,0,1544.28859841,0.281868783648,86.9880919792,0.0158773610731,6,9.00266443737,58.1382071979,hard,
9,1.2458036,0.3355178,13.33676,337.13487,277.02906,354.6795,0.827814316896,1.6637928831,507.893668882,1.39053708113,1.4318361622e-07,0.708809780583,1.06195861177,1.15289665413,337.13487,157.13487,True,True,False,1.65279922682,0.365859898892,0.827814316896,62731.1872518,2030-08-18,1.6637928831,63493.0277552,2032-09-18,0.382826868607,11,62731.19;63239.08;63746.97;64254.87;64762.76;65270.66;65778.55;66286.44;66794.34;67302.23;67810.12,11,11,22,22,22,62796.99:1.062;63304.88:1.062;63812.78:1.062;64320.67:1.062;64828.57:1.062;65336.46:1.062;65844.35:1.062;66352.25:1.062;66860.14:1.062;67368.03:1.062;67875.93:1.062,62648.77:1.153;63156.67:1.153;63664.56:1.153;64172.46:1.153;64680.35:1.153;65188.24:1.153;65696.14:1.153;66204.03:1.153;66711.92:1.153;67219.82:1.153;67727.71:1.153,0.0289668132849,4333373.58838,1.02914683787,331.532825675,-0.0238102998993,0.143557728921,21475930.5692,67868.5893316,2044-09-10,15.4652602508,0,0,0,4250.91808103,0.775891960945,1200.83561456,0.21918058217,22,7.26489659361,67.9099514386,moderate,
10,1.7762319,0.6504315,39.82206,356.78899,267.84526,148.63266,0.620914720935,2.93154907906,864.665089929,2.36732399707,8.4104300050e-08,0.416346171706,1.05046659754,1.00031431564,356.78899,176.78899,True,True,False,1.23869466326,0.239226208843,0.620914720935,62572.3372012,2030-03-12,2.93154907906,63004.6697461,2031-05-18,1.87651668362,7,62572.34;63437.00;64301.67;65166.33;66031.00;66895.66;67760.33,7,7,14,14,14,62625.39:1.050;63490.05:1.050;64354.72:1.050;65219.38:1.050;66084.05:1.050;66948.71:1.050;67813.38:1.050,62523.83:1.000;63388.49:1.000;64253.16:1.000;65117.82:1.000;65982.49:1.000;66847.15:1.000;67711.82:1.000,0.00324777773384,485860.63349,0.998013290699,176.948916272,-0.00232276160628,0.155000436642,23187735.2792,63490.75557,2032-09-15,25.0363138687,0,0,0,1039.35771968,0.189707090063,258.964549685,0.047267086413,14,18.8773032327,78.0332786076,hard,
