[02:22:20] scheduler start (/Users/mickey/solarsystem/ctoc14/results/s15b/sched.json)
[02:22:20] started K2Bt1x64 (busy 2, recent 1, cap 7); 17 pending
[02:22:20] started K1Ah04x33x280 (busy 2, recent 2, cap 7); 16 pending
[02:22:20] started K3Bs2x64 (busy 2, recent 3, cap 7); 15 pending
[02:22:20] started K5Bs1x64 (busy 2, recent 4, cap 7); 14 pending
[02:22:20] started K4At1x280 (busy 2, recent 5, cap 7); 13 pending
[02:24:06] started K3Bs2x64st (busy 6, recent 1, cap 7); 13 pending
[02:28:37] started P207_f6731 (busy 6, recent 1, cap 7); 12 pending
[02:34:09] started P4Ats (busy 7, recent 1, cap 8); 7 pending
[02:35:39] started T3a (busy 7, recent 1, cap 8); 9 pending
[02:37:55] started K4bAt1x33x280 (busy 7, recent 1, cap 8); 10 pending
[02:48:43] started X1t1k24 (busy 7, recent 1, cap 8); 15 pending
[02:50:28] started X1s1k19 (busy 7, recent 1, cap 8); 14 pending
[02:50:43] started X1s2k13 (busy 6, recent 2, cap 8); 11 pending
[02:52:14] started X2h04k30 (busy 7, recent 1, cap 8); 15 pending
[03:00:01] started X2h04k16 (busy 7, recent 1, cap 8); 14 pending
[03:04:32] started X2t1Ak15 (busy 7, recent 1, cap 8); 12 pending
[03:09:34] started X2h04k15 (busy 7, recent 1, cap 8); 11 pending
[03:13:35] started P5C (busy 3, recent 1, cap 7); 12 pending
[03:13:35] started P5D (busy 3, recent 2, cap 7); 11 pending
[03:13:35] started P5E (busy 3, recent 3, cap 7); 10 pending
[03:13:35] started K6As2x33x280st (busy 3, recent 4, cap 7); 9 pending
[03:25:38] started T3b (busy 6, recent 1, cap 7); 8 pending
[04:04:02] started T3c (busy 6, recent 1, cap 7); 7 pending
[04:14:04] started X1t1k12 (busy 6, recent 1, cap 7); 6 pending
[04:45:59] started X1s1k8 (busy 6, recent 1, cap 7); 5 pending
[04:48:59] started X1s2k5 (busy 6, recent 1, cap 7); 4 pending
[04:50:30] started P4Bts (busy 6, recent 1, cap 7); 3 pending
[05:08:49] started P3Bch2 (busy 6, recent 1, cap 7); 2 pending
[05:46:13] started P3Ach2 (busy 6, recent 1, cap 7); 1 pending
[05:58:46] started P208_a9ef1 (busy 6, recent 1, cap 7); 0 pending
[06:21:06] started X3h06k28 (busy 2, recent 1, cap 8); 5 pending
[06:21:06] started X3h06k13 (busy 2, recent 2, cap 8); 4 pending
[06:21:06] started X3t1k11 (busy 2, recent 3, cap 8); 3 pending
[06:21:06] started X3t1k10 (busy 2, recent 4, cap 8); 2 pending
[06:21:06] started X3h06k27 (busy 2, recent 5, cap 8); 1 pending
[06:21:06] started X3h06k12 (busy 2, recent 6, cap 8); 0 pending
[06:22:52] started P6a (busy 7, recent 1, cap 8); 3 pending
[06:24:22] started P6b (busy 7, recent 1, cap 8); 2 pending
[06:26:08] started X5s1k21 (busy 7, recent 1, cap 8); 11 pending
[06:27:38] started X7s1k3 (busy 7, recent 1, cap 8); 16 pending
[06:29:09] started X7s1k2 (busy 7, recent 1, cap 8); 15 pending
[06:32:55] started X5s1k20 (busy 7, recent 1, cap 8); 14 pending
[06:34:10] started X6h01k34 (busy 3, recent 2, cap 8); 13 pending
[06:34:10] started X6h01k33 (busy 3, recent 3, cap 8); 12 pending
[06:34:10] started X6h02k20 (busy 3, recent 4, cap 8); 11 pending
[06:34:10] started X6h02k21 (busy 3, recent 5, cap 8); 10 pending
[06:35:40] started X5t1k27 (busy 7, recent 1, cap 8); 10 pending
[06:37:11] started X5h04k32 (busy 7, recent 1, cap 8); 9 pending
[06:38:41] started X5h05k30 (busy 7, recent 1, cap 8); 8 pending
[06:40:12] started X5s2k14 (busy 7, recent 1, cap 8); 7 pending
[06:41:42] started X5s2k13 (busy 7, recent 1, cap 8); 6 pending
[06:43:12] started X4s1k15 (busy 7, recent 1, cap 8); 5 pending
[06:46:28] started X8s1k2o (busy 7, recent 1, cap 8); 5 pending
[06:47:59] started X8h01k33o (busy 7, recent 1, cap 8); 4 pending
[06:48:14] started X8h02k20o (busy 6, recent 2, cap 8); 3 pending
[06:49:44] started X8s1k1 (busy 7, recent 1, cap 8); 2 pending
[06:58:47] started P6c (busy 7, recent 1, cap 8); 1 pending
[07:01:17] started X10s1k20 (busy 2, recent 1, cap 8); 8 pending
[07:01:17] started X10s1k19 (busy 2, recent 2, cap 8); 7 pending
[07:01:17] started X10s1k21 (busy 2, recent 3, cap 8); 6 pending
[07:01:17] started X10s1k18 (busy 2, recent 4, cap 8); 5 pending
[07:01:17] started X9s2k5 (busy 2, recent 5, cap 8); 4 pending
[07:01:17] started X9s2k4 (busy 2, recent 6, cap 8); 3 pending
[07:02:48] started X9h05k21 (busy 4, recent 1, cap 8); 2 pending
[07:02:48] started X9h05k20 (busy 4, recent 2, cap 8); 1 pending
[07:02:48] started P6d (busy 4, recent 3, cap 8); 0 pending
[07:03:48] started X11h05k29 (busy 4, recent 4, cap 8); 4 pending
[07:04:18] started X11h02k44 (busy 5, recent 2, cap 8); 5 pending
[07:04:18] started X11h03k27 (busy 5, recent 3, cap 8); 4 pending
[07:05:48] started X13s1k5 (busy 6, recent 1, cap 8); 6 pending
[07:05:48] started X13s1k4 (busy 6, recent 2, cap 8); 5 pending
[07:09:19] started X14t1k26 (busy 7, recent 1, cap 8); 6 pending
[07:10:04] started X14t1k25 (busy 4, recent 2, cap 8); 3 pending
[07:10:04] started X13s1k3 (busy 4, recent 3, cap 8); 2 pending
[07:10:04] started X12s2L (busy 4, recent 4, cap 8); 1 pending
[07:17:36] started X15h06k3 (busy 4, recent 1, cap 8); 3 pending
[07:17:36] started X15h06k2 (busy 4, recent 2, cap 8); 2 pending
[07:17:36] started X16s2k4 (busy 4, recent 3, cap 8); 1 pending
[07:17:36] started X16s2k1 (busy 4, recent 4, cap 8); 0 pending
[07:19:07] started X17s2k3 (busy 4, recent 1, cap 6); 1 pending
[07:19:07] started X17s2k2 (busy 4, recent 2, cap 6); 0 pending
[07:21:23] started Y1h06k5 (busy 5, recent 1, cap 8); 4 pending
[07:21:23] started Y1t1k12 (busy 5, recent 2, cap 8); 3 pending
[07:21:23] started Y1s1k10 (busy 5, recent 3, cap 8); 2 pending
[07:26:09] started X20s2_165 (busy 6, recent 1, cap 8); 9 pending
[07:26:09] started X20s2_71 (busy 6, recent 2, cap 8); 8 pending
[07:30:25] started X20s2_262 (busy 5, recent 1, cap 8); 7 pending
[07:30:25] started X18s1k16o (busy 5, recent 2, cap 8); 6 pending
[07:30:25] started X18s1k15o (busy 5, recent 3, cap 8); 5 pending
[07:32:26] stop flag: exit
