r1 host r2: 43 approaches, 39 priced, 11 s
r1 host r3: 49 approaches, 45 priced, 13 s
r1 host r4: 48 approaches, 47 priced, 13 s
r1 host r5: 58 approaches, 49 priced, 13 s
r1 host r6: 58 approaches, 50 priced, 13 s
r1 host r7: 53 approaches, 50 priced, 14 s
r1 host r9: 40 approaches, 37 priced, 9 s
r1 host r8: 63 approaches, 61 priced, 16 s
r2 host r1: 47 approaches, 44 priced, 13 s
r2 host r3: 47 approaches, 43 priced, 13 s
r2 host r4: 38 approaches, 37 priced, 11 s
r2 host r5: 46 approaches, 40 priced, 11 s
r2 host r6: 45 approaches, 43 priced, 12 s
r2 host r7: 55 approaches, 44 priced, 12 s
r2 host r9: 21 approaches, 21 priced, 5 s
r2 host r8: 50 approaches, 45 priced, 11 s
r3 host r1: 40 approaches, 39 priced, 11 s
r3 host r2: 36 approaches, 36 priced, 10 s
r3 host r4: 50 approaches, 48 priced, 13 s
r3 host r5: 56 approaches, 52 priced, 14 s
r3 host r6: 48 approaches, 44 priced, 12 s
r3 host r7: 49 approaches, 45 priced, 13 s
r3 host r9: 31 approaches, 29 priced, 7 s
r3 host r8: 57 approaches, 47 priced, 12 s
r4 host r1: 31 approaches, 31 priced, 9 s
r4 host r2: 47 approaches, 42 priced, 11 s
r4 host r3: 39 approaches, 39 priced, 12 s
r4 host r5: 38 approaches, 36 priced, 10 s
r4 host r6: 40 approaches, 36 priced, 10 s
r4 host r7: 43 approaches, 36 priced, 10 s
r4 host r8: 42 approaches, 37 priced, 9 s
r4 host r9: 24 approaches, 23 priced, 6 s
r5 host r2: 24 approaches, 23 priced, 6 s
r5 host r1: 29 approaches, 28 priced, 8 s
r5 host r3: 22 approaches, 22 priced, 7 s
r5 host r4: 20 approaches, 18 priced, 5 s
r5 host r7: 21 approaches, 20 priced, 6 s
r5 host r6: 25 approaches, 24 priced, 7 s
r5 host r9: 24 approaches, 24 priced, 6 s
r5 host r8: 28 approaches, 26 priced, 7 s
r6 host r1: 21 approaches, 20 priced, 6 s
r6 host r2: 31 approaches, 31 priced, 8 s
r6 host r3: 28 approaches, 28 priced, 8 s
r6 host r4: 24 approaches, 24 priced, 7 s
r6 host r5: 20 approaches, 20 priced, 5 s
r6 host r7: 28 approaches, 28 priced, 8 s
r6 host r8: 30 approaches, 29 priced, 8 s
r6 host r9: 21 approaches, 21 priced, 5 s
r7 host r1: 19 approaches, 19 priced, 6 s
r7 host r2: 23 approaches, 19 priced, 5 s
r7 host r4: 15 approaches, 13 priced, 4 s
r7 host r3: 17 approaches, 17 priced, 5 s
r7 host r5: 13 approaches, 13 priced, 4 s
r7 host r6: 13 approaches, 13 priced, 4 s
r7 host r9: 15 approaches, 15 priced, 4 s
r7 host r8: 23 approaches, 23 priced, 6 s
