ID,a,e,i,Omega,omega,M,q,Q,period_yr,match_full_name,pdes,spkid,kind,sbdb_class,pha,H,diameter_km,moid_au,data_arc_d,n_obs,condition_code,first_obs,last_obs,soln_date,orbit_id,sbdb_epoch_jd,sbdb_a,sbdb_e,sbdb_i,sbdb_om,sbdb_w,sbdb_ma,match_dist,second_best,second_dist,dM_sbdb,hz_a,hz_e,hz_i,hz_om,hz_w,hz_ma,hz_da,hz_de,hz_di,hz_dom,hz_dw,hz_dM,hz_maxdev
1,1.7689528,0.4232224,22.14242,336.03924,27.87452,252.06689,1.02029235049728,2.51761324950272,2.3527423367860414,3122 Florence (1981 ET3),3122,20003122,an,AMO,Y,14.08,4.9,.0438758,17341,10321,0,1979-03-09,2026-08-30,2026-08-31 06:24:25,JPL 1063,2461200.5,1.768952762122564,0.4232224394609472,22.14242023332167,336.0392375954034,27.8745219297435,252.0668855042523,0.00017766386833924252,(2020 QM6),252.6913771964054,-4.495747703003872e-06,1.768952761992162,0.4232224395172991,22.1424202341117,336.0392375944667,27.87452192424223,252.0668855746825,-3.800783821006348e-08,3.951729909967838e-08,2.341116989157399e-07,-2.4055332801253826e-06,1.9242422411025473e-06,-4.4253175133235345e-06,4.4253175133235345e-06
2,1.9810687,0.6361991,6.66957,294.34257,237.01137,28.07406,0.72071457602183,3.24142282397817,2.7883629569787973,4183 Cuno (1959 LM),4183,20004183,an,APO,Y,14.18,3.651,.0283573,24561,5430,0,1959-06-05,2026-09-02,2026-09-03 06:18:32,JPL 861,2461200.5,1.981068726824346,0.6361990547302804,6.669563434098072,294.3426303502204,237.0113124248766,28.07405363712729,0.004184412079168148,(2024 YB3),164.32347334437344,-6.3628727104969585e-06,1.981068726557398,0.6361990547075905,6.669563435854788,294.3426303755046,237.0113124066535,28.07405379286348,2.6557398058457693e-08,-4.529240948958346e-08,-6.564145212273331e-06,6.03755045744947e-05,-5.759334649724224e-05,-6.207136522107248e-06,6.03755045744947e-05
3,2.2005608,0.8591108,17.51489,260.13526,243.26877,129.82319,0.3100352506633601,4.091086349336639,3.2643751150647793,16960 (1998 QS52),16960,20016960,an,APO,Y,14.32,,.018079,15773,3519,0,1983-06-14,2026-08-20,2026-08-23 06:49:14,JPL 528,2461200.5,2.200560760989583,0.8591108377047543,17.51488517740576,260.1352737400699,243.2687579621906,129.8231838118127,0.0009484713410491097,(2021 MX),621.9758910742837,-6.188187313682647e-06,2.200560761383193,0.8591108376767729,17.51488517777574,260.1352737479113,243.2687579503026,129.8231836778812,-3.861680708538984e-08,3.767677292376703e-08,-4.8222242625683975e-06,1.3747911282280256e-05,-1.2049697403426762e-05,-6.322118821344702e-06,1.3747911282280256e-05
4,1.2714646,0.8896723,22.31053,265.09881,322.30016,301.48582,0.14027776494942004,2.40265143505058,1.433693808249929,3200 Phaethon (1983 TB),3200,20003200,an,APO,Y,14.38,6.25,.0187322,15468,8544,0,1983-10-27,2026-03-03,2026-06-25 06:18:30,JPL 1003,2461200.5,1.271464620920411,0.8896722843692159,22.31052728047163,265.0988060455101,322.300168483426,301.4858235833354,0.0004887952558165035,(2011 XA3),550.636841066524,3.583335399071075e-06,1.271464621047614,0.8896722843864261,22.31052728295254,265.0988063356999,322.3001680503798,301.4858233452588,2.1047613874003446e-08,-1.5613573878248133e-08,-2.7170474616866613e-06,-3.6643000953517912e-06,8.050379790347506e-06,3.345258789977379e-06,8.050379790347506e-06
5,1.0838865,0.4771016,37.03321,295.27177,104.98562,38.79575,0.5667625166315999,1.6010104833684,1.1284328244621453,242450 (2004 QY2),242450,20242450,an,APO,Y,14.64,2.914,.04698,7597,3754,0,2004-08-20,2025-06-08,2026-04-30 06:18:55,297,2461200.5,1.08388648848771,0.4771015805416846,37.03322124683664,295.2717617150595,104.9856146872035,38.79575295611161,0.000748358529317115,(2018 BX1),450.9321351209429,2.9561116150489397e-06,1.083886488513314,0.4771015805392309,37.0332212466784,295.2717617152987,104.9856146806296,38.79575292737074,-1.1486686046779937e-08,-1.9460769107304543e-08,1.124667840457505e-05,-8.284701323191257e-06,-5.31937041614583e-06,2.9273707582433417e-06,8.284701323191257e-06
6,1.6213702,0.6575603,24.37798,77.51847,77.93611,211.44116,0.5552215248769401,2.6875188751230605,2.064539896831726,4953 (1990 MU),4953,20004953,an,APO,Y,14.88,,.0250784,19025,3378,0,1974-07-21,2026-08-22,2026-09-03 06:18:31,JPL 487,2461200.5,1.621370182800005,0.6575602718120455,24.37799071814845,77.51846195729101,77.93611592182144,211.4411517994251,0.0007348834542848909,(2008 YJ2),439.1274974942348,-8.200574882266665e-06,1.621370182704658,0.6575602718292939,24.37799071857145,77.51846195548781,77.93611592219688,211.4411519101519,-1.729534204741867e-08,-2.817070610117156e-08,1.0718571449075398e-05,-8.044512185279018e-06,5.922196862684359e-06,-8.089848108738806e-06,8.089848108738806e-06
7,2.0774415,0.5069959,43.64693,19.88008,5.84705,90.73316,1.0241871770101498,3.1306958229898503,2.994285481814835,89830 (2002 CE),89830,20089830,an,AMO,Y,14.98,5.067,.0276542,16110,3640,0,1982-05-25,2026-07-03,2026-07-14 06:53:08,JPL 501,2461200.5,2.077441511496064,0.506995949981081,43.64692697984727,19.88007516101048,5.847064747569587,90.7331552490944,0.0007969908850794169,(2020 UO1),605.062390256096,-4.750905588934984e-06,2.077441511015216,0.5069959500597394,43.64692698305539,19.88007516096786,5.847064747486729,90.73315545355538,1.1015215850562754e-08,5.00597393537916e-08,-3.0169446105787756e-06,-4.839032129666521e-06,1.4747486716260028e-05,-4.546444614561551e-06,1.4747486716260028e-05
8,1.7533776,0.4398616,42.03945,310.13923,6.97434,316.90227,0.9821341234598401,2.52462107654016,2.3217378472787393,111253 (2001 XU10),111253,20111253,an,APO,Y,15.23,3.006,.0307474,9703,2420,0,2000-02-08,2026-09-02,2026-09-03 06:18:31,JPL 453,2461200.5,1.753377638838795,0.4398615842130618,42.03945602548743,310.1392283544734,6.974354195553355,316.9022550771614,0.0007770619924733945,(2016 CL246),464.47767422479626,-1.4922838602160482e-05,1.753377638724311,0.4398615842831214,42.03945602699063,310.1392283549926,6.97435419523716,316.9022551330692,3.872431086904271e-08,-1.571687863188842e-08,6.026990625684903e-06,-1.6450073871965287e-06,1.4195237156400253e-05,-1.4866930769130704e-05,1.4866930769130704e-05
9,1.2458036,0.3355178,13.33676,337.13487,277.02906,354.6795,0.82781431689592,1.6637928831040798,1.3905108189981652,1620 Geographos (1951 RA),1620,20001620,an,APO,Y,15.27,2.56,.0295314,27384,9551,0,1951-09-14,2026-09-04,2026-09-04 06:21:19,JPL 918,2461200.5,1.245803622704846,0.3355177775876924,13.33675505981431,337.1348663031888,277.0290683622069,354.6795027335471,0.0005220350891682776,(2020 DU4),278.97202494539806,2.733547091793298e-06,1.245803622775291,0.3355177776326073,13.33675505947561,337.134866302888,277.0290683645829,354.6795026022117,2.2775291208532167e-08,-2.2367392660260776e-08,-4.940524389596135e-06,-3.697111992551072e-06,8.36458286812558e-06,2.602211679914035e-06,8.36458286812558e-06
10,1.7762319,0.6504315,39.82206,356.78899,267.84526,148.63266,0.6209147209351499,2.93154907906485,2.3672792870260952,1981 Midas (1973 EA),1981,20001981,an,APO,Y,15.28,3.4,.00384584,19295,2498,0,1973-03-06,2026-01-02,2026-03-11 23:44:44,402,2461200.5,1.776231868547232,0.6504314469810176,39.82205969987218,356.7889936471771,267.8452607062967,148.6326626269966,0.00021670350221495718,(2015 FA36),529.4216867775092,2.6269966042491433e-06,1.776231868735472,0.6504314469419211,39.82205969789198,356.7889936489951,267.8452607068273,148.6326625000992,-3.1264528077556974e-08,-5.305807893041248e-08,-3.021080203780002e-07,3.6489950616669375e-06,7.068272793731012e-07,2.5000992138757283e-06,3.6489950616669375e-06
