id,t_start_mjd,t_end_mjd,date_start,date_end,duration_d,r_mean_au,zabs_min_au,d_earth_min_au
1,63138,63164.5,2031-09-29,2031-10-25,27,1.06000831938,0.00117356394695,0.67356903198
1,63997.5,64024,2034-02-04,2034-03-03,27,1.05960601448,0.00145381570837,2.00542218209
1,64856.5,64883.5,2036-06-12,2036-07-09,27.5,1.06001068197,0.000384499518835,1.14141875758
1,65716,65743,2038-10-20,2038-11-16,27.5,1.05960917335,0.000684818685574,0.954502611149
1,66575.5,66602,2041-02-25,2041-03-24,27,1.05978963865,0.00175413329418,2.01908788542
1,67434.5,67461.5,2043-07-04,2043-07-31,27.5,1.06019487986,0.000873245305686,0.877779862416
2,63082.5,63135.5,2031-08-04,2031-09-26,53.5,1.03711454905,0.000477038855946,1.63716439584
2,63179.5,63264,2031-11-09,2032-02-02,85,1.1909688811,0.0277528298132,1.78440178277
2,64101,64154,2034-05-19,2034-07-11,53.5,1.03682314545,0.000554311542832,1.77581118571
2,64198,64282.5,2034-08-24,2034-11-16,85,1.19126334889,0.0277159604135,1.50740889352
2,65119.5,65172.5,2037-03-02,2037-04-24,53.5,1.03653180123,0.00060697162377,1.16003769826
2,65216.5,65300.5,2037-06-07,2037-08-30,84.5,1.18914007258,0.028269837129,0.488992323454
2,66138,66191,2039-12-16,2040-02-07,53.5,1.03624051654,0.000529699088229,0.130490186455
2,66235,66319,2040-03-22,2040-06-14,84.5,1.18943464556,0.0282329954551,0.64412765948
2,67156,67209.5,2042-09-29,2042-11-21,54,1.038401635,0.000452426327067,1.13634396895
2,67253.5,67337.5,2043-01-04,2043-03-29,84.5,1.18972924681,0.0281961517808,1.54420002817
3,63185,63217,2031-11-15,2031-12-17,32.5,1.07357728692,0.000986418560338,1.75127184039
3,64377.5,64409,2035-02-19,2035-03-23,32,1.07233080345,0.000298288535828,1.45234676918
3,65570,65601.5,2038-05-27,2038-06-27,32,1.07503116917,0.000389844390439,0.230374948287
3,66762,66794,2041-08-31,2041-10-02,32.5,1.0734690966,0.00101398550177,1.1348879039
3,67954.5,67980.75,2044-12-05,2044-12-31,26.75,1.03219983635,0.000325855733499,1.78438266256
4,62796.5,62828,2030-10-22,2030-11-23,32,1.07495394567,0.000449820700206,0.508806855959
4,63320,63352,2032-03-29,2032-04-30,32.5,1.07336062542,0.000175634643405,1.62842946639
4,63843.5,63875.5,2033-09-03,2033-10-05,32.5,1.07601245881,0.000801087995959,1.1779860649
4,64367.5,64399,2035-02-09,2035-03-13,32,1.07494854721,0.000451094507826,1.15024283746
4,64891,64923,2036-07-17,2036-08-18,32.5,1.07335521897,0.00017436083256,1.64139828684
4,65414.5,65446.5,2037-12-22,2038-01-23,32.5,1.07600706371,0.000799814196373,0.366835188563
4,65938.5,65970,2039-05-30,2039-07-01,32,1.07494314873,0.000452368315424,1.8256015314
4,66462,66494,2040-11-04,2040-12-06,32.5,1.0733498125,0.000173087021704,0.39428533397
4,66985.5,67017.5,2042-04-11,2042-05-13,32.5,1.07600166859,0.000798540396754,1.6827747189
4,67509.5,67541,2043-09-17,2043-10-19,32,1.07493775022,0.000453642122995,1.08222234217
5,62738,62758,2030-08-25,2030-09-14,20.5,0.954701059706,0.000472202292433,0.718954577737
5,62843.5,62844.5,2030-12-08,2030-12-09,1.5,0.808805896521,0.0847671440118,0.783429375744
5,63150.5,63170,2031-10-11,2031-10-31,20,0.954024780618,0.00213857005732,1.31610573692
5,63255.5,63256.5,2032-01-24,2032-01-25,1.5,0.807304470069,0.0826604105899,0.207994497764
5,63562.5,63582.5,2032-11-26,2032-12-16,20.5,0.95328307811,0.00115823255616,1.7162254022
5,63667.5,63669,2033-03-11,2033-03-13,2,0.808040128566,0.0805523450642,0.696310674342
5,63974.5,63994.5,2034-01-12,2034-02-01,20.5,0.95473230291,0.000508139783198,1.84811479973
5,64080,64081,2034-04-28,2034-04-29,1.5,0.808773511489,0.0847217238064,1.28320279911
5,64387,64406.5,2035-03-01,2035-03-20,20,0.954056040981,0.00217450727593,1.68491086516
5,64492,64493,2035-06-14,2035-06-15,1.5,0.807272094984,0.082614961377,1.6763820322
5,64799,64819,2036-04-16,2036-05-06,20.5,0.953314343706,0.00112229513125,1.25897957972
5,64904,64905.5,2036-07-30,2036-07-31,2,0.808007750013,0.0805068674152,1.81644709577
5,65211,65231,2037-06-02,2037-06-22,20.5,0.954763545618,0.00054407727171,0.658238267623
5,65316.5,65317.5,2037-09-15,2037-09-16,1.5,0.808741126666,0.0846763029694,1.68735844599
5,65623.5,65643,2038-07-19,2038-08-08,20,0.954087300848,0.00221044448492,0.073836322754
5,65728.5,65729.5,2038-11-01,2038-11-02,1.5,0.807239720121,0.0825695115447,1.2952293804
5,66035.5,66055.5,2039-09-04,2039-09-24,20.5,0.95334560881,0.00108635770132,0.796612106847
5,66140.5,66142,2039-12-18,2039-12-20,2,0.807975371674,0.0804613891594,0.705367289518
5,66447.5,66467.5,2040-10-20,2040-11-09,20.5,0.954794787831,0.000580014757798,1.37503087441
5,66553,66554,2041-02-03,2041-02-04,1.5,0.808708742052,0.0846308815012,0.205520047552
5,66860,66879.5,2041-12-07,2041-12-26,20,0.95411856022,0.00224638168412,1.74990581937
5,66965,66966,2042-03-22,2042-03-23,1.5,0.807207345479,0.0825240610934,0.772518250086
5,67272,67292,2043-01-23,2043-02-12,20.5,0.953376873423,0.00105042026655,1.84233237672
5,67377,67378.5,2043-05-08,2043-05-09,2,0.807942993551,0.0804159102969,1.34015990294
5,67684,67704,2044-03-10,2044-03-30,20.5,0.954826029547,0.000615952241302,1.64564947792
5,67789.5,67790.5,2044-06-23,2044-06-24,1.5,0.808676357647,0.0845854594018,1.70814613055
6,62974,62986.5,2031-04-18,2031-04-30,13,0.875294396552,0.000741053150812,1.6926797735
6,63059,63090.5,2031-07-12,2031-08-12,32,1.06448967606,0.00103371867351,0.712536993058
6,63728,63740.5,2033-05-11,2033-05-23,13,0.876318571911,4.95323247056e-06,1.78949101011
6,63813.5,63844.5,2033-08-04,2033-09-04,31.5,1.06639439656,0.000475499737558,1.02220850658
6,64482.5,64494.5,2035-06-04,2035-06-16,12.5,0.874402824805,0.000731146708982,1.8211639519
6,64567.5,64598.5,2035-08-28,2035-09-28,31.5,1.0653926868,8.27200815011e-05,1.29811663758
6,65236.5,65248.5,2037-06-27,2037-07-09,12.5,0.87542713336,0.00146724354112,1.78716933585
6,65321.5,65352.5,2037-09-20,2037-10-21,31.5,1.0643907505,0.000640939745913,1.52898261027
6,65990.5,66003,2039-07-21,2039-08-03,13,0.873535017124,0.00200585164117,1.68474485675
6,66075.5,66106.5,2039-10-14,2039-11-14,31.5,1.06338858906,0.00119915821204,1.7052168725
6,66744.5,66757,2041-08-13,2041-08-26,13,0.874558885947,0.00126975914593,1.52640850527
6,66829.5,66861,2041-11-06,2041-12-08,32,1.0652091622,0.00143466134058,1.8190047525
6,67498.5,67511,2043-09-06,2043-09-19,13,0.875582934665,0.000533661190274,1.31226335092
6,67583.5,67615,2043-11-30,2044-01-01,32,1.0642074172,0.000876443676007,1.86468756233
7,63100,63113.5,2031-08-22,2031-09-04,14,1.02710479978,0.00293085979101,0.825456956409
7,64193.5,64207,2034-08-19,2034-09-02,14,1.02723642567,0.00162050690626,0.881414597443
7,65287.5,65301,2037-08-17,2037-08-31,14,1.02701222886,0.00101664394828,0.936157760959
7,66381,66394.5,2040-08-15,2040-08-28,14,1.02714041084,0.00353471925849,0.99044379407
7,67474.5,67488,2043-08-13,2043-08-27,14,1.02727333695,0.000897576831346,1.04383357712
8,62985,62999,2031-04-29,2031-05-13,14.5,0.985399506103,0.00228412761531,1.3846739312
8,63833,63847,2033-08-24,2033-09-07,14.5,0.985422520644,0.00185600280271,0.396574643079
8,64681,64695,2035-12-20,2036-01-03,14.5,0.985445660683,0.00142787744495,1.84142830296
8,65529,65543,2038-04-16,2038-04-30,14.5,0.985468926205,0.000999751667807,1.56341855641
8,66377,66391,2040-08-11,2040-08-25,14.5,0.985492317195,0.000571625597038,0.131511349312
8,67225,67239,2042-12-07,2042-12-21,14.5,0.985515833636,0.000143499358414,1.72413136003
9,62621,62677,2030-04-30,2030-06-25,56.5,1.15063740995,0.000814557271268,1.40903300436
9,62771,62823,2030-09-27,2030-11-18,52.5,1.0634062533,3.5157012144e-05,0.819624670183
