id,t_mjd,date,t_s,d_au,d_km,v_rel_kms,r_helio_au,z_au
211,62502,2030-01-01,0,0.239888681556,35886835.9659,23.3046161935,0.921262615876,-0.0118647989414
190,62502,2030-01-01,0,0.136010504112,20346881.808,7.40205308462,0.974047219618,0.017697481858
287,62502,2030-01-01,0,0.121000092275,18101356.1589,12.739465717,1.03253619056,0.0388273267991
119,62502,2030-01-01,0,0.277103333164,41454068.6053,10.274766706,1.06757771921,-0.0830441000445
136,62514.4754276,2030-01-13,1077876.94373,0.191408409369,28634290.4756,12.4098412404,1.17102715313,-0.0170169457254
59,62536.2300831,2030-02-04,2957479.18267,0.189152955668,28296879.4045,9.96487666042,0.833512963293,0.0876066428002
43,62538.0577365,2030-02-06,3115388.4325,0.228670482812,34208617.3206,31.7920109894,0.960695007703,0.039510049732
155,62541.567272,2030-02-09,3418612.2973,0.261332799322,39094830.3226,11.1171052938,1.17100489019,-0.196527215611
149,62553.4686055,2030-02-21,4446887.51324,0.272054384992,40698756.7094,19.7326032242,1.03163861699,0.0936758061224
293,62555.7288744,2030-02-23,4642174.75073,0.121495786906,18175511.0202,30.8102334687,0.945045467598,0.0387232926576
228,62571.5528477,2030-03-11,6009366.04428,0.133706148245,20002155.0769,8.60499859534,0.876642054404,-0.047224447576
227,62585.2264249,2030-03-25,7190763.11302,0.208778419821,31232807.0533,20.7407916702,0.997584454979,0.0041927793092
174,62598.1556263,2030-04-07,8307846.11032,0.0230653659705,3450529.6361,11.9998879239,1.01748346366,-0.015790281624
181,62637.1507943,2030-05-16,11677028.6234,0.272072627338,40701485.7255,16.5016866224,1.04908502414,-0.0310013119492
80,62678.3051012,2030-06-26,15232760.7394,0.233432996804,34921079.2731,21.2761464434,1.1076874174,0.215995482557
162,62679.6451132,2030-06-27,15348537.7844,0.0838434854526,12542806.8958,9.80665185835,1.0210905657,0.0403593333764
220,62771.7452593,2030-09-27,23305990.4009,0.285938780772,42775832.754,18.8787410291,0.921318403694,-0.129780931299
112,62776.0721249,2030-10-02,23679831.5899,0.191844313048,28699500.7379,29.530986158,1.11904795757,-0.0873130550579
291,62806.0584017,2030-11-01,26270645.9065,0.0525456596633,7860718.80016,14.3150266953,0.997606848303,-0.0524512755228
127,62809.3202718,2030-11-04,26552471.4797,0.274338348256,41040432.7504,14.9711127306,0.748384637584,0.00295484375927
