1382 columns (n >= 20), 12 done, 1370 to price
[     6 s] 1/1370 c3598c8188103d0e n 48 arcs 2 (6.4 s, ok True)
[    44 s] 21/1370 f0bb348405df7473 n 47 arcs 7 (7.5 s, ok True)
[    79 s] 41/1370 871b890ef6fc1649 n 47 arcs 2 (5.2 s, ok True)
[   112 s] 61/1370 3d10b963532668e4 n 46 arcs 3 (5.1 s, ok True)
[   149 s] 81/1370 5bcde305edff8155 n 45 arcs 7 (8.3 s, ok True)
[   185 s] 101/1370 054e6a3d5b18146b n 45 arcs 8 (6.8 s, ok True)
[   222 s] 121/1370 842cc5c970559496 n 44 arcs 10 (6.8 s, ok True)
[   268 s] 141/1370 c2984563996ace70 n 43 arcs 9 (9.5 s, ok True)
[   299 s] 161/1370 5ea5183837891983 n 43 arcs 6 (5.2 s, ok True)
[   334 s] 181/1370 49b5bb94f189510e n 42 arcs 7 (7.6 s, ok True)
[   375 s] 201/1370 ab4d9e9a570d1466 n 41 arcs 7 (7.3 s, ok True)
[   419 s] 221/1370 c7850975f2a78725 n 41 arcs 5 (6.9 s, ok True)
[   457 s] 241/1370 eaa2f0a6b3049eb0 n 40 arcs 7 (6.7 s, ok True)
[   499 s] 261/1370 d0d68bd866d6a619 n 40 arcs 8 (5.8 s, ok True)
[   535 s] 281/1370 eba795b457653a2d n 39 arcs 14 (9.0 s, ok True)
[   573 s] 301/1370 912a2ad91a93c1a3 n 39 arcs 15 (7.3 s, ok True)
[   609 s] 321/1370 23f499804e75f2b6 n 38 arcs 18 (10.4 s, ok True)
[   648 s] 341/1370 a2419d4a2dc164da n 38 arcs 16 (7.5 s, ok True)
[   683 s] 361/1370 cbd514c3b62874ba n 37 arcs 4 (6.4 s, ok True)
[   726 s] 381/1370 cc72679d67f91b21 n 37 arcs 23 (10.8 s, ok True)
[   766 s] 401/1370 ebd21d3ba927e636 n 37 arcs 12 (6.5 s, ok True)
[   800 s] 421/1370 76c694edcba29501 n 36 arcs 20 (10.3 s, ok True)
[   845 s] 441/1370 702b7489403a59b9 n 36 arcs 11 (7.5 s, ok True)
[   880 s] 461/1370 6790874240e4aa84 n 35 arcs 10 (6.9 s, ok True)
[   924 s] 481/1370 c2d2d31fb803e142 n 35 arcs 12 (9.1 s, ok True)
[   972 s] 501/1370 2632b60a72cc40ff n 34 arcs 27 (12.1 s, ok True)
[  1016 s] 521/1370 b787c9ae0770e6d9 n 34 arcs 24 (10.5 s, ok True)
[  1060 s] 541/1370 7d45b8c9a45dc93d n 34 arcs 4 (3.4 s, ok True)
[  1103 s] 561/1370 05e5f30c959b2ae8 n 33 arcs 19 (10.1 s, ok True)
[  1153 s] 581/1370 f70d7aeef9c400c6 n 33 arcs 16 (7.3 s, ok True)
[  1199 s] 601/1370 ae1d235d0c8eab1c n 32 arcs 17 (9.0 s, ok True)
[  1242 s] 621/1370 592d96b184d81349 n 32 arcs 17 (8.1 s, ok True)
[  1288 s] 641/1370 da68b0fab5a6a3b0 n 32 arcs 21 (10.1 s, ok True)
[  1331 s] 661/1370 cc27d064bcb025f1 n 32 arcs 8 (3.6 s, ok True)
[  1383 s] 681/1370 f5d79d7305be76da n 31 arcs 22 (10.8 s, ok True)
[  1429 s] 701/1370 38d29addeffae2cd n 31 arcs 16 (8.5 s, ok True)
[  1471 s] 721/1370 a9b06be3a6b6bcc5 n 31 arcs 22 (8.4 s, ok True)
[  1521 s] 741/1370 4a8572a4d515aa9a n 30 arcs 15 (8.7 s, ok True)
[  1567 s] 761/1370 6636ff1e87c49867 n 30 arcs 29 (10.3 s, ok True)
[  1616 s] 781/1370 788c6fa5fc33dec7 n 30 arcs 29 (11.4 s, ok True)
[  1668 s] 801/1370 745d2939f6d2a8c3 n 30 arcs 23 (9.6 s, ok True)
[  1713 s] 821/1370 1d61e04d1e3fd057 n 29 arcs 26 (9.9 s, ok True)
[  1764 s] 841/1370 24ccfd6070cc48d1 n 29 arcs 22 (9.8 s, ok True)
[  1813 s] 861/1370 c328694e985017d8 n 28 arcs 23 (9.7 s, ok True)
[  1865 s] 881/1370 1f61b93d5dbe0ab6 n 28 arcs 19 (10.8 s, ok True)
[  1913 s] 901/1370 ca625617d40f44c4 n 28 arcs 30 (10.2 s, ok True)
[  1967 s] 921/1370 bc489319006a8cf6 n 27 arcs 41 (13.2 s, ok True)
[  2014 s] 941/1370 5af82695e5468400 n 27 arcs 33 (11.5 s, ok True)
[  2068 s] 961/1370 c467eacf53fa0dc0 n 27 arcs 25 (10.6 s, ok True)
[  2120 s] 981/1370 a488b21d7c72b2a3 n 26 arcs 33 (12.4 s, ok True)
[  2180 s] 1001/1370 4affef25d1270a03 n 26 arcs 26 (10.3 s, ok True)
[  2232 s] 1021/1370 8dcc7f88bffd4178 n 26 arcs 9 (5.2 s, ok True)
[  2281 s] 1041/1370 263b1db449d7cabf n 25 arcs 24 (10.2 s, ok True)
[  2334 s] 1061/1370 daf3c708257d5d2d n 25 arcs 23 (9.6 s, ok True)
[  2388 s] 1081/1370 c04ff78ab7125f04 n 25 arcs 27 (9.6 s, ok True)
[  2440 s] 1101/1370 ae179004998bb6fe n 24 arcs 38 (14.2 s, ok True)
[  2495 s] 1121/1370 6b8e8778d8af64b8 n 24 arcs 37 (13.2 s, ok True)
[  2551 s] 1141/1370 c2a9be9cf2b1896f n 23 arcs 23 (8.5 s, ok True)
[  2607 s] 1161/1370 a25f488e528a4ca3 n 23 arcs 21 (8.9 s, ok True)
[  2665 s] 1181/1370 c341a78fdc5d78df n 23 arcs 40 (14.0 s, ok True)
[  2720 s] 1201/1370 74d6721a1d46ab39 n 22 arcs 46 (15.0 s, ok True)
