{'route': 'r9', 'ast': 184, 'ok': True, 'sec': 4.3, 'tank0': 902.8308305092615, 'tank': 901.8613866238742, 'dkg': 0.9694438853873635, 'dJ': 0.0009915492918282087}
{'route': 'r9', 'ast': 17, 'ok': True, 'sec': 2.8, 'tank0': 902.8308305092615, 'tank': 902.4939008695789, 'dkg': 0.33692963968269396, 'dJ': 0.0003447210914235832}
{'route': 'r9', 'ast': 258, 'ok': True, 'sec': 5.9, 'tank0': 902.8308305092615, 'tank': 896.4882015944183, 'dkg': 6.342628914843203, 'dJ': 0.006469866685212766}
{'route': 'r9', 'ast': 36, 'ok': True, 'sec': 3.6, 'tank0': 902.8308305092615, 'tank': 900.2624427717608, 'dkg': 2.568387737500757, 'dJ': 0.0026248572449822927}
{'route': 'r9', 'ast': 75, 'ok': True, 'sec': 3.8, 'tank0': 902.8308305092615, 'tank': 896.1851359345239, 'dkg': 6.645694574737604, 'dJ': 0.0067779844709230375}
{'route': 'r9', 'ast': 118, 'ok': True, 'sec': 6.2, 'tank0': 902.8308305092615, 'tank': 892.9533498751382, 'dkg': 9.877480634123344, 'dJ': 0.010057816118181906}
{'route': 'r9', 'ast': 130, 'ok': True, 'sec': 6.2, 'tank0': 902.8308305092615, 'tank': 892.405974187305, 'dkg': 10.424856321956554, 'dJ': 0.010612273988388488}
{'route': 'r9', 'ast': 176, 'ok': True, 'sec': 0.6, 'tank0': 902.8308305092615, 'tank': 902.8241390230434, 'dkg': 0.006691486218187492, 'dJ': 6.847353360761588e-06}
{'route': 'r9', 'ast': 212, 'ok': True, 'sec': 6.1, 'tank0': 902.8308305092615, 'tank': 869.192880246672, 'dkg': 33.637950262589584, 'dJ': 0.03384430382604875}
{'route': 'r9', 'ast': 243, 'ok': True, 'sec': 5.3, 'tank0': 902.8308305092615, 'tank': 901.1558693996915, 'dkg': 1.674961109570063, 'dJ': 0.0017125509114506166}
{'route': 'r9', 'ast': 6, 'ok': True, 'sec': 1.9, 'tank0': 902.8308305092615, 'tank': 902.5427201711067, 'dkg': 0.28811033815486553, 'dJ': 0.0002947800264354594}
{'route': 'r9', 'ast': 180, 'ok': True, 'sec': 2.2, 'tank0': 902.8308305092615, 'tank': 902.6232922620094, 'dkg': 0.20753824725215964, 'dJ': 0.00021235124162477526}
{'route': 'r9', 'ast': 220, 'ok': True, 'sec': 0.6, 'tank0': 902.8308305092615, 'tank': 902.8225686270956, 'dkg': 0.008261882165925272, 'dJ': 8.4543224743161e-06}
{'route': 'r9', 'ast': 265, 'ok': True, 'sec': 2.3, 'tank0': 902.8308305092615, 'tank': 901.7684353592041, 'dkg': 1.0623951500574549, 'dJ': 0.0010865696621773502}
{'route': 'r9', 'ast': 219, 'ok': True, 'sec': 3.7, 'tank0': 902.8308305092615, 'tank': 901.1387630734564, 'dkg': 1.6920674358051428, 'dJ': 0.0017300263732882293}
{'route': 'r9', 'ast': 108, 'ok': True, 'sec': 5.9, 'tank0': 902.8308305092615, 'tank': 889.7432763175245, 'dkg': 13.087554191737013, 'dJ': 0.01330506204293247}
{'route': 'r9', 'ast': 216, 'ok': True, 'sec': 4.0, 'tank0': 902.8308305092615, 'tank': 901.2112937795159, 'dkg': 1.6195367297456187, 'dJ': 0.0016559284837975863}
{'route': 'r9', 'ast': 288, 'ok': True, 'sec': 2.4, 'tank0': 902.8308305092615, 'tank': 902.6806076490583, 'dkg': 0.15022286020325737, 'dJ': 0.00015371105327055545}
{'route': 'r9', 'ast': 208, 'ok': True, 'sec': 5.2, 'tank0': 902.8308305092615, 'tank': 896.8250733600033, 'dkg': 6.005757149258216, 'dJ': 0.0061272692554690256}
{'route': 'r9', 'ast': 247, 'ok': True, 'sec': 0.6, 'tank0': 902.8308305092615, 'tank': 902.8304551113082, 'dkg': 0.0003753979533485108, 'dJ': 3.841434395024379e-07}
{'route': 'r9', 'ast': 142, 'ok': True, 'sec': 4.3, 'tank0': 902.8308305092615, 'tank': 899.0187869498585, 'dkg': 3.812043559403037, 'dJ': 0.0038934377250654517}
{'route': 'r8', 'ast': 249, 'ok': True, 'sec': 6.4, 'tank0': 927.2333857070846, 'tank': 924.6428298390149, 'dkg': 2.590555868069714, 'dJ': 0.0027119897809875226}
{'route': 'r8', 'ast': 199, 'ok': True, 'sec': 0.7, 'tank0': 927.2333857070846, 'tank': 927.1591541284054, 'dkg': 0.07423157867924601, 'dJ': 7.780653135669446e-05}
{'route': 'r8', 'ast': 95, 'ok': True, 'sec': 2.7, 'tank0': 927.2333857070846, 'tank': 926.4845202706708, 'dkg': 0.7488654364137801, 'dJ': 0.0007846726305769103}
{'route': 'r8', 'ast': 204, 'ok': True, 'sec': 4.7, 'tank0': 927.2333857070846, 'tank': 917.5536348310292, 'dkg': 9.679750876055436, 'dJ': 0.010098484159898335}
{'route': 'r8', 'ast': 56, 'ok': True, 'sec': 4.4, 'tank0': 927.2333857070846, 'tank': 922.6273099149852, 'dkg': 4.606075792099432, 'dJ': 0.004817251901674036}
{'route': 'r8', 'ast': 240, 'ok': True, 'sec': 6.0, 'tank0': 927.2333857070846, 'tank': 921.5662405901384, 'dkg': 5.667145116946244, 'dJ': 0.0059239004070263945}
{'route': 'r8', 'ast': 137, 'ok': True, 'sec': 1.5, 'tank0': 927.2333857070846, 'tank': 926.7717291221983, 'dkg': 0.46165658488632744, 'dJ': 0.0004837984625771785}
{'route': 'r8', 'ast': 266, 'ok': True, 'sec': 2.7, 'tank0': 927.2333857070846, 'tank': 926.2418143245525, 'dkg': 0.9915713825321291, 'dJ': 0.0010388608383118392}
{'route': 'r8', 'ast': 96, 'ok': True, 'sec': 3.4, 'tank0': 927.2333857070846, 'tank': 926.0644386690545, 'dkg': 1.168947038030069, 'dJ': 0.0012245900051011116}
{'route': 'r8', 'ast': 213, 'ok': True, 'sec': 6.7, 'tank0': 927.2333857070846, 'tank': 917.4195371032013, 'dkg': 9.813848603883343, 'dJ': 0.010237711342830469}
{'route': 'r8', 'ast': 132, 'ok': True, 'sec': 4.1, 'tank0': 927.2333857070846, 'tank': 921.880148128378, 'dkg': 5.353237578706626, 'dJ': 0.005596628353247146}
{'route': 'r8', 'ast': 280, 'ok': True, 'sec': 3.9, 'tank0': 927.2333857070846, 'tank': 926.1078589787813, 'dkg': 1.1255267283032708, 'dJ': 0.0011791277822557067}
{'route': 'r8', 'ast': 58, 'ok': True, 'sec': 3.1, 'tank0': 927.2333857070846, 'tank': 926.2938909899343, 'dkg': 0.9394947171502963, 'dJ': 0.000984325524480134}
{'route': 'r8', 'ast': 93, 'ok': True, 'sec': 1.7, 'tank0': 927.2333857070846, 'tank': 926.7276740491757, 'dkg': 0.5057116579089325, 'dJ': 0.0005299551289845716}
{'route': 'r8', 'ast': 33, 'ok': True, 'sec': 3.0, 'tank0': 927.2333857070846, 'tank': 923.5160334731123, 'dkg': 3.717352233972292, 'dJ': 0.0038894683340342517}
{'route': 'r8', 'ast': 138, 'ok': True, 'sec': 3.7, 'tank0': 927.2333857070846, 'tank': 913.4058362364136, 'dkg': 13.827549470670988, 'dJ': 0.014396448874089307}
{'route': 'r8', 'ast': 71, 'ok': True, 'sec': 3.9, 'tank0': 927.2333857070846, 'tank': 924.7007559987868, 'dkg': 2.5326297082978044, 'dJ': 0.002651423146303511}
{'route': 'r8', 'ast': 139, 'ok': True, 'sec': 4.9, 'tank0': 927.2333857070846, 'tank': 912.4785483245504, 'dkg': 14.75483738253422, 'dJ': 0.015354907088699576}
{'route': 'r8', 'ast': 223, 'ok': True, 'sec': 6.4, 'tank0': 927.2333857070846, 'tank': 910.738569697717, 'dkg': 16.494816009367582, 'dJ': 0.017151006345231146}
{'route': 'r8', 'ast': 173, 'ok': True, 'sec': 6.3, 'tank0': 927.2333857070846, 'tank': 921.058035497013, 'dkg': 6.175350210071656, 'dJ': 0.00645352900929641}
{'route': 'r8', 'ast': 22, 'ok': True, 'sec': 3.6, 'tank0': 927.2333857070846, 'tank': 924.9588775775405, 'dkg': 2.274508129544074, 'dJ': 0.0023814938705246647}
{'route': 'r8', 'ast': 148, 'ok': True, 'sec': 6.3, 'tank0': 927.2333857070846, 'tank': 895.639961979131, 'dkg': 31.593423727953564, 'dJ': 0.032606885112976824}
{'route': 'r8', 'ast': 172, 'ok': True, 'sec': 6.5, 'tank0': 927.2333857070846, 'tank': 920.9027166574963, 'dkg': 6.330669049588323, 'dJ': 0.006615342771726596}
{'route': 'r8', 'ast': 150, 'ok': True, 'sec': 2.5, 'tank0': 927.2333857070846, 'tank': 926.5733316404977, 'dkg': 0.6600540665868948, 'dJ': 0.0006916446304943147}
{'route': 'r7', 'ast': 11, 'ok': True, 'sec': 4.6, 'tank0': 1017.1345990884627, 'tank': 1014.8839552815601, 'dkg': 2.2506438069025307, 'dJ': 0.0025629993552471753}
{'route': 'r7', 'ast': 165, 'ok': True, 'sec': 3.1, 'tank0': 1017.1345990884627, 'tank': 1016.0654802881938, 'dkg': 1.069118800268825, 'dJ': 0.0012181409130733734}
{'route': 'r7', 'ast': 188, 'ok': True, 'sec': 7.3, 'tank0': 1017.1345990884627, 'tank': 1007.4664372323863, 'dkg': 9.668161856076381, 'dJ': 0.010973368818543827}
{'route': 'r7', 'ast': 124, 'ok': True, 'sec': 2.5, 'tank0': 1017.1345990884627, 'tank': 1016.8106496320877, 'dkg': 0.32394945637497585, 'dJ': 0.0003692272188238199}
{'route': 'r7', 'ast': 203, 'ok': True, 'sec': 7.3, 'tank0': 1017.1345990884627, 'tank': 1006.6627491484177, 'dkg': 10.47184994004499, 'dJ': 0.011881261289697242}
{'route': 'r7', 'ast': 168, 'ok': True, 'sec': 7.0, 'tank0': 1017.1345990884627, 'tank': 1005.6041617522528, 'dkg': 11.530437336209843, 'dJ': 0.013076096937060688}
{'route': 'r7', 'ast': 157, 'ok': True, 'sec': 1.8, 'tank0': 1017.1345990884627, 'tank': 1016.3954450470344, 'dkg': 0.7391540414282645, 'dJ': 0.0008423075299870408}
{'route': 'r7', 'ast': 287, 'ok': True, 'sec': 7.0, 'tank0': 1017.1345990884627, 'tank': 1013.8738606601689, 'dkg': 3.2607384282937346, 'dJ': 0.0037115994992609203}
{'route': 'r7', 'ast': 20, 'ok': True, 'sec': 5.5, 'tank0': 1017.1345990884627, 'tank': 1014.9171451132328, 'dkg': 2.217453975229887, 'dJ': 0.0025252408230096446}
{'route': 'r7', 'ast': 298, 'ok': True, 'sec': 4.3, 'tank0': 1017.1345990884627, 'tank': 1015.2113171370145, 'dkg': 1.923281951448189, 'dJ': 0.0021905258214620638}
{'route': 'r7', 'ast': 283, 'ok': True, 'sec': 2.9, 'tank0': 1017.1345990884627, 'tank': 1011.9212381192334, 'dkg': 5.213360969229257, 'dJ': 0.005929016683638544}
{'route': 'r7', 'ast': 39, 'ok': True, 'sec': 0.6, 'tank0': 1017.1345990884627, 'tank': 1017.1255272627811, 'dkg': 0.009071825681530754, 'dJ': 1.034123387433361e-05}
{'route': 'r7', 'ast': 175, 'ok': True, 'sec': 0.6, 'tank0': 1017.1345990884627, 'tank': 1017.1288575853911, 'dkg': 0.005741503071590159, 'dJ': 6.544913520256657e-06}
{'route': 'r7', 'ast': 242, 'ok': True, 'sec': 5.9, 'tank0': 1017.1345990884627, 'tank': 1015.0356842817367, 'dkg': 2.0989148067259293, 'dJ': 0.0023903751320915045}
{'route': 'r7', 'ast': 51, 'ok': True, 'sec': 7.0, 'tank0': 1017.1345990884627, 'tank': 1002.0616109290061, 'dkg': 15.0729881594566, 'dJ': 0.017066284794440945}
{'route': 'r7', 'ast': 120, 'ok': True, 'sec': 2.6, 'tank0': 1017.1345990884627, 'tank': 1016.177878845334, 'dkg': 0.9567202431286432, 'dJ': 0.0010901302330976748}
{'route': 'r7', 'ast': 141, 'ok': True, 'sec': 7.1, 'tank0': 1017.1345990884627, 'tank': 1014.0498755656052, 'dkg': 3.0847235228574164, 'dJ': 0.0035115240983671914}
{'route': 'r7', 'ast': 119, 'ok': True, 'sec': 7.1, 'tank0': 1017.1345990884627, 'tank': 1001.6907558501148, 'dkg': 15.443843238347881, 'dJ': 0.017483260691297575}
{'route': 'r7', 'ast': 15, 'ok': True, 'sec': 7.2, 'tank0': 1017.1345990884627, 'tank': 1004.3633459145303, 'dkg': 12.771253173932337, 'dJ': 0.014475159531124326}
{'route': 'r7', 'ast': 254, 'ok': True, 'sec': 6.9, 'tank0': 1017.1345990884627, 'tank': 1004.9646973248804, 'dkg': 12.169901763582288, 'dJ': 0.01379731129912054}
{'route': 'r7', 'ast': 251, 'ok': True, 'sec': 2.3, 'tank0': 1017.1345990884627, 'tank': 1015.9118465940745, 'dkg': 1.2227524943881463, 'dJ': 0.0013930934242565307}
{'route': 'r7', 'ast': 241, 'ok': True, 'sec': 0.6, 'tank0': 1017.1345990884627, 'tank': 1017.1144364094771, 'dkg': 0.020162678985570892, 'dJ': 2.2983901059481227e-05}
{'route': 'r7', 'ast': 262, 'ok': True, 'sec': 6.8, 'tank0': 1017.1345990884627, 'tank': 1009.6740264251496, 'dkg': 7.460572663313087, 'dJ': 0.008476156917314626}
{'route': 'r7', 'ast': 234, 'ok': True, 'sec': 5.2, 'tank0': 1017.1345990884627, 'tank': 988.5572697568027, 'dkg': 28.57732933165994, 'dJ': 0.032159583132732594}
{'route': 'r7', 'ast': 246, 'ok': True, 'sec': 3.7, 'tank0': 1017.1345990884627, 'tank': 1011.911635593244, 'dkg': 5.222963495218664, 'dJ': 0.005939911792294694}
{'route': 'r7', 'ast': 158, 'ok': True, 'sec': 6.9, 'tank0': 1017.1345990884627, 'tank': 1002.012792460416, 'dkg': 15.12180662804667, 'dJ': 0.017121182517416678}
{'route': 'r7', 'ast': 32, 'ok': True, 'sec': 2.6, 'tank0': 1017.1345990884627, 'tank': 1015.0277092075017, 'dkg': 2.106889880960921, 'dJ': 0.002399449071434523}
{'route': 'r7', 'ast': 182, 'ok': True, 'sec': 4.2, 'tank0': 1017.1345990884627, 'tank': 1014.6301614627374, 'dkg': 2.504437625725245, 'dJ': 0.002851691652087762}
{'route': 'r7', 'ast': 147, 'ok': True, 'sec': 5.6, 'tank0': 1017.1345990884627, 'tank': 1011.8621025663414, 'dkg': 5.272496522121287, 'dJ': 0.005996110896579143}
{'route': 'r7', 'ast': 104, 'ok': True, 'sec': 1.1, 'tank0': 1017.1345990884627, 'tank': 1011.9759660462163, 'dkg': 5.158633042246379, 'dJ': 0.0058669201102676816}
{'route': 'r6', 'ast': 218, 'ok': True, 'sec': 4.0, 'tank0': 901.5475939376395, 'tank': 901.2686889179045, 'dkg': 0.2789050197350207, 'dJ': 0.00028499771168144505}
{'route': 'r6', 'ast': 169, 'ok': True, 'sec': 3.1, 'tank0': 901.5475939376395, 'tank': 900.7542920610766, 'dkg': 0.7933018765628503, 'dJ': 0.0008104233895960267}
{'route': 'r6', 'ast': 217, 'ok': True, 'sec': 6.8, 'tank0': 901.5475939376395, 'tank': 899.1838751176401, 'dkg': 2.363718819999349, 'dJ': 0.0024128401159035917}
{'route': 'r6', 'ast': 143, 'ok': True, 'sec': 6.7, 'tank0': 901.5475939376395, 'tank': 895.6644456772142, 'dkg': 5.883148260425287, 'dJ': 0.0059948441513064665}
{'route': 'r6', 'ast': 264, 'ok': True, 'sec': 6.7, 'tank0': 901.5475939376395, 'tank': 898.092854120656, 'dkg': 3.4547398169834196, 'dJ': 0.00352461095691714}
{'route': 'r6', 'ast': 231, 'ok': True, 'sec': 3.6, 'tank0': 901.5475939376395, 'tank': 901.2099806574704, 'dkg': 0.3376132801690801, 'dJ': 0.0003449783439504195}
{'route': 'r6', 'ast': 23, 'ok': True, 'sec': 3.4, 'tank0': 901.5475939376395, 'tank': 900.4411994477272, 'dkg': 1.1063944899123044, 'dJ': 0.0011300966172795857}
{'route': 'r6', 'ast': 79, 'ok': True, 'sec': 0.6, 'tank0': 901.5475939376395, 'tank': 901.5447156849115, 'dkg': 0.002878252728010011, 'dJ': 2.941533624900572e-06}
{'route': 'r6', 'ast': 50, 'ok': True, 'sec': 4.7, 'tank0': 901.5475939376395, 'tank': 885.0433988006364, 'dkg': 16.50419513700308, 'dJ': 0.016728104796716936}
{'route': 'r6', 'ast': 154, 'ok': True, 'sec': 6.7, 'tank0': 901.5475939376395, 'tank': 893.4013305846568, 'dkg': 8.146263352982714, 'dJ': 0.008291520058626878}
{'route': 'r6', 'ast': 134, 'ok': True, 'sec': 6.7, 'tank0': 901.5475939376395, 'tank': 897.0468054905328, 'dkg': 4.500788447106629, 'dJ': 0.0045894135629585}
{'route': 'r6', 'ast': 257, 'ok': True, 'sec': 0.6, 'tank0': 901.5475939376395, 'tank': 901.5454564539299, 'dkg': 0.0021374837095891053, 'dJ': 2.1844789612757154e-06}
{'route': 'r6', 'ast': 99, 'ok': True, 'sec': 0.6, 'tank0': 901.5475939376395, 'tank': 901.5457722891215, 'dkg': 0.0018216485179891606, 'dJ': 1.8617000316911714e-06}
{'route': 'r6', 'ast': 177, 'ok': True, 'sec': 4.8, 'tank0': 901.5475939376395, 'tank': 899.1468240610308, 'dkg': 2.400769876608706, 'dJ': 0.002450615760730024}
{'route': 'r6', 'ast': 4, 'ok': True, 'sec': 4.8, 'tank0': 901.5475939376395, 'tank': 897.7982751882057, 'dkg': 3.749318749433769, 'dJ': 0.0038245841600594854}
