ID,a,e,i,Omega,omega,M,q,Q,P_yr,mpc_des,mpc_name,mpc_H,mpc_nobs,mpc_arc,mpc_U,mpc_flags,mpc_epoch,mpc_dist,mpc_max_abs_diff,sbdb_name,sbdb_spkid,sbdb_dist,sbdb_H,sbdb_diameter_km,sbdb_moid_au,sbdb_pha,sbdb_class,sbdb_arc_d,sbdb_nobs,sbdb_cc,hz_maxdev
1,1.7689528,0.4232224,22.14242,336.03924,27.87452,252.06689,1.02029235049728,2.51761324950272,2.3527423367860414,03122,(3122) Florence,14.07,9918,1979-2026,0,9804,K2669,0.0,0.0,3122 Florence (1981 ET3),20003122,0.00017766386833924252,14.08,4.9,.0438758,Y,AMO,17341,10321,0,4.4253175133235345e-06
2,1.9810687,0.6361991,6.66957,294.34257,237.01137,28.07406,0.72071457602183,3.24142282397817,2.7883629569787973,04183,(4183) Cuno,14.20,5176,1959-2026,0,9803,K2669,0.0,0.0,4183 Cuno (1959 LM),20004183,0.004184412079168148,14.18,3.651,.0283573,Y,APO,24561,5430,0,6.03755045744947e-05
3,2.2005608,0.8591108,17.51489,260.13526,243.26877,129.82319,0.3100352506633601,4.091086349336639,3.2643751150647793,16960,(16960) 1998 QS52,14.32,3312,1983-2026,0,9803,K2669,0.0,0.0,16960 (1998 QS52),20016960,0.0009484713410491097,14.32,,.018079,Y,APO,15773,3519,0,1.3747911282280256e-05
4,1.2714646,0.8896723,22.31053,265.09881,322.30016,301.48582,0.14027776494942004,2.40265143505058,1.433693808249929,03200,(3200) Phaethon,14.38,8763,1983-2026,0,9803,K2669,0.0,0.0,3200 Phaethon (1983 TB),20003200,0.0004887952558165035,14.38,6.25,.0187322,Y,APO,15468,8544,0,8.050379790347506e-06
5,1.0838865,0.4771016,37.03321,295.27177,104.98562,38.79575,0.5667625166315999,1.6010104833684,1.1284328244621453,O2450,(242450) 2004 QY2,14.64,3441,2004-2025,0,9803,K2669,0.0,0.0,242450 (2004 QY2),20242450,0.000748358529317115,14.64,2.914,.04698,Y,APO,7597,3754,0,8.284701323191257e-06
6,1.6213702,0.6575603,24.37798,77.51847,77.93611,211.44116,0.5552215248769401,2.6875188751230605,2.064539896831726,04953,(4953) 1990 MU,14.88,3032,1974-2026,0,9803,K2669,0.010000000003174137,1.0000000003174137e-05,4953 (1990 MU),20004953,0.0007348834542848909,14.88,,.0250784,Y,APO,19025,3378,0,8.089848108738806e-06
7,2.0774415,0.5069959,43.64693,19.88008,5.84705,90.73316,1.0241871770101498,3.1306958229898503,2.994285481814835,89830,(89830) 2002 CE,14.99,3382,1982-2026,0,9804,K2669,0.0,0.0,89830 (2002 CE),20089830,0.0007969908850794169,14.98,5.067,.0276542,Y,AMO,16110,3640,0,1.4747486716260028e-05
8,1.7533776,0.4398616,42.03945,310.13923,6.97434,316.90227,0.9821341234598401,2.52462107654016,2.3217378472787393,B1253,(111253) 2001 XU10,15.20,2137,2001-2026,0,9803,K2669,0.0,0.0,111253 (2001 XU10),20111253,0.0007770619924733945,15.23,3.006,.0307474,Y,APO,9703,2420,0,1.4866930769130704e-05
9,1.2458036,0.3355178,13.33676,337.13487,277.02906,354.6795,0.82781431689592,1.6637928831040798,1.3905108189981652,01620,(1620) Geographos,15.28,9531,1951-2026,0,9803,K2669,0.009999999974752427,9.999999974752427e-06,1620 Geographos (1951 RA),20001620,0.0005220350891682776,15.27,2.56,.0295314,Y,APO,27384,9551,0,8.36458286812558e-06
10,1.7762319,0.6504315,39.82206,356.78899,267.84526,148.63266,0.6209147209351499,2.93154907906485,2.3672792870260952,01981,(1981) Midas,15.28,2347,1973-2026,0,9803,K2669,0.0,0.0,1981 Midas (1973 EA),20001981,0.00021670350221495718,15.28,3.4,.00384584,Y,APO,19295,2498,0,3.6489950616669375e-06
11,2.4391983,0.6118902,39.51172,347.89802,162.3993,287.72364,0.9466767643733399,3.93171983562666,3.8095235529992837,D7427,(137427) 1999 TF211,15.28,699,1999-2025,0,9803,K2669,0.0,0.0,137427 (1999 TF211),20137427,0.0012184871292066914,15.28,,.0283304,Y,APO,9477,867,0,2.3015418804561705e-05
12,2.5430471,0.6246302,0.44808,125.36536,277.86165,125.51616,0.9545830813175799,4.13151111868242,4.055380474097104,04179,(4179) Toutatis,15.29,7024,1934-2026,0,9803,K2669,0.0,0.0,4179 Toutatis (1989 AC),20004179,0.008194418182570912,15.29,5.4,.00650597,Y,APO,33698,7141,0,0.00012042703161796453
13,2.1785708,0.7108614,2.52172,74.85241,98.3819,158.2996,0.62990891111288,3.72723268888712,3.2155666632068702,02201,(2201) Oljato,15.31,1732,1931-2025,0,9803,K2669,0.03605551274243612,2.99999999811007e-05,2201 Oljato (1947 XC),20002201,0.0028041132979011846,15.32,1.80,.00270585,Y,APO,34275,1880,0,4.061741699956656e-05
14,2.136714,0.574076,8.85374,226.433,31.25146,317.0831,0.910077773736,3.363350226264,3.1233423746955378,90075,(90075) 2002 VU94,15.37,3276,1955-2026,0,9803,K2669,0.0,0.0,90075 (2002 VU94),20090075,0.001125913430814541,15.38,2.233,.0261362,Y,APO,25753,3624,0,2.036727750009959e-05
15,2.7243079,0.6415852,13.83947,133.6246,166.78307,0.37394,0.9764322711169201,4.47218352888308,4.496600295259262,53319,(53319) 1999 JM8,15.38,1688,1990-2026,0,9803,K2669,0.0,0.0,53319 (1999 JM8),20053319,0.00031795259445043027,15.35,7.,.0256044,Y,APO,10000,1673,0,4.638050796756943e-06
16,2.2620457,0.5935572,23.15184,235.51959,140.00618,133.16977,0.9193921880359599,3.6046992119640398,3.402139067419935,F9857,(159857) 2004 LJ1,15.46,2962,1995-2026,0,9803,K2669,0.0,0.0,159857 (2004 LJ1),20159857,0.0005303034952956204,15.46,3.070,.0148973,Y,APO,11390,3315,0,4.5072810905821825e-06
17,2.2301886,0.5419751,39.65677,267.12483,5.0141,305.534,1.02148191049614,3.4388952895038605,3.3305226173664906,O2216,(242216) 2003 RN10,15.58,822,2003-2026,0,9804,K2669,0.0,0.0,242216 (2003 RN10),20242216,0.0011069362862323572,15.58,,.00677491,Y,AMO,8201,1141,0,1.6088182775320092e-05
18,2.2052447,0.6598497,3.02961,82.16378,169.30021,336.40315,0.7501146462784101,3.6603747537215905,3.274803006848003,04486,(4486) Mithra,15.62,2019,1987-2026,0,9803,K2669,0.0,0.0,4486 Mithra (1987 SB),20004486,0.0009067394036106511,15.62,1.849,.0458128,Y,APO,14311,2070,0,1.2145825195375437e-05
19,1.9236716,0.6388452,10.7844,40.94164,103.1481,101.26122,0.69474323196368,3.15259996803632,2.6680649648649353,85713,(85713) 1998 SS49,15.76,1478,1998-2026,0,9803,K2669,0.0,0.0,85713 (1998 SS49),20085713,0.000440740818175708,15.77,3.484,.004487,Y,APO,10179,1512,0,7.592137421852385e-06
20,1.961768,0.4930609,5.31181,168.07244,147.23365,266.59627,0.9944969043287999,2.9290390956712002,2.7477136371484523,12923,(12923) Zephyr,15.80,2921,1988-2026,0,9803,K2669,0.0,0.0,12923 Zephyr (1999 GK4),20012923,0.003220201211719225,15.80,2.060,.0196294,Y,APO,25930,3011,0,4.5566972374899706e-05
21,1.7597807,0.5788447,7.13333,311.6149,120.82624,110.65203,0.7411409686427101,2.77842043135729,2.334467464514723,86039,(86039) 1999 NC43,15.93,1762,1999-2026,0,9803,K2669,0.0,0.0,86039 (1999 NC43),20086039,0.000478977165912906,15.94,2.22,.0248171,Y,APO,9859,1822,0,3.562386410749241e-06
22,2.1223157,0.653834,34.88704,275.31036,284.97994,241.5195,0.7346735366061999,3.5099578633938004,3.091825539053706,f5029,(415029) 2011 UL21,15.93,3626,1989-2024,0,9803,K2669,0.0,0.0,415029 (2011 UL21),20415029,0.0004240433569892301,15.93,,.0165723,Y,APO,12734,2113,0,7.6134302844366175e-06
