ast,a,e,i,Om,om,q,Q,rasc,rdes,dnode,moid,P,syn,lnode,nodepass,owner,cls,t_fly,pool_all,pool_deep,pool_short,maxdep,fly_r,fly_z,fly_vrel
1,1.7689528,0.4232224,22.14242,336.03924,27.87452,1.02029235049728,2.51761324950272,1.0567531432596018,2.320088510256315,0.05675314325960179,0.04307701427215393,2.3527423367860414,1.7392390796135528,336.03924,6.375538776800658,r1,deep,647.3218966389185,146,92,42,48,1.0626572402312697,-0.014927508514993687,14.207955673439313
2,1.9810687,0.6361991,6.66957,294.34257,237.01137,0.72071457602183,3.24142282397817,1.8041919618624902,0.8758457318940687,0.12415426810593133,0.028427125109190526,2.7883629569787973,1.5591706068936744,114.34257000000002,5.379500528242765,r3,deep,1648.5092508771627,121,49,54,47,0.8260735517092296,-0.015391846079834579,13.474512311663506
3,2.2005608,0.8591108,17.51489,260.13526,243.26877,0.3100352506633601,4.091086349336639,0.9394083542254675,0.4157358099893976,0.060591645774532465,0.018790227014317845,3.2643751150647793,1.4416229419529687,260.13526,4.59506014819695,r5,tail,5461.134157928539,189,22,131,47,0.9577000659066753,0.004419095454403095,29.702874906835387
4,1.2714646,0.8896723,22.31053,265.09881,322.30016,0.14027776494942004,2.40265143505058,0.15556908042485434,0.8953290199514596,0.10467098004854036,0.019681470017070206,1.433693808249929,3.30577421438242,85.09881000000001,10.462485025523051,r6,tail,2938.072375976985,213,131,40,48,0.9248077193985703,0.006159863703191732,35.516798019894566
5,1.0838865,0.4771016,37.03321,295.27177,104.98562,0.5667625166315999,1.6010104833684,0.9549790169426264,0.7452289284784704,0.045020983057373565,0.04831397342384639,1.1284328244621453,8.786171519530376,295.27177,13.29277177589156,r3,deep,1484.598367994985,116,63,20,48,0.9371594654698879,0.020316065991799647,24.20301911381403
6,1.6213702,0.6575603,24.37798,77.51847,77.93611,0.5552215248769401,2.6875188751230605,0.8091151619415348,1.0669451405375334,0.06694514053753342,0.024517876121899543,2.064539896831726,1.9393729657067724,257.51847,7.265541355252676,r9,tail,2846.47420935002,302,27,247,47,1.1954576433348412,-0.07229103792742328,20.867339895413718
7,2.0774415,0.5069959,43.64693,19.88008,5.84705,1.0241871770101498,3.1306958229898503,1.0259829603662267,3.114034909452442,0.025982960366226715,0.027634068457475527,2.994285481814835,1.5014327232077038,19.88008,5.009542373664554,r6,tail,3887.4037842276803,119,30,72,46,1.0249964720280231,0.023714055322068665,25.816946768862177
8,1.7533776,0.4398616,42.03945,310.13923,6.97434,0.9821341234598401,2.52462107654016,0.9843591928529152,2.5100364474381096,0.015640807147084823,0.03214959435038741,2.3217378472787393,1.7565796818626709,310.13923,6.460677727927461,r1,deep,1337.3886942140637,141,57,67,47,0.9847436719701227,-0.00665088463391177,25.608856829441308
9,1.2458036,0.3355178,13.33676,337.13487,277.02906,0.82781431689592,1.6637928831040798,1.0619586117696764,1.1528966541312966,0.06195861176967643,0.029151254598725255,1.3905108189981652,3.560748515407197,337.13487,10.78740258260428,r1,deep,2827.7355244289733,117,58,33,48,1.0256514138282582,-0.026365191549431094,13.691493552116466
10,1.7762319,0.6504315,39.82206,356.78899,267.84526,0.6209147209351499,2.93154907906485,1.0504665975370564,1.000314315636884,0.00031431563688411046,0.004236772467020767,2.3672792870260952,1.731379469790004,176.78899,6.336387971714066,r5,tail,1748.9810695660242,173,36,89,48,1.0243494195554612,0.02424363097011549,25.9398957469411
