id,a,e,i,q,Q,P_yr,U_opik,node_gap_AU,r_asc,r_desc,n_routes,n_routes_first3,n_routes_ge20,n_routes_ge28,n_leaf_routes,max_route_len,min_cost_per_target,min_leg_index,min_dv_est,median_dv_est,t_flyby_min_yr,t_flyby_max_yr
1,1.7689528,0.4232224,22.14242,1.02029235049728,2.51761324950272,2.3527423367860414,0.44985752829443987,0.05675314325960179,1.0567531432596018,2.320088510256315,8348,2887,3386,978,8348,35,0.0419,1,0.0,0.779,1.75,13.57
2,1.9810687,0.6361991,6.66957,0.72071457602183,3.24142282397817,2.7883629569787973,0.5814383168748226,0.12415426810593133,1.8041919618624902,0.8758457318940687,14217,2799,3421,570,14217,34,0.0432,1,0.0,1.063,1.68,13.26
3,2.2005608,0.8591108,17.51489,0.3100352506633601,4.091086349336639,3.2643751150647793,1.04764435176198,0.060591645774532465,0.9394083542254675,0.4157358099893976,7536,0,4327,739,7536,37,0.0393,4,0.048,1.306,1.86,14.99
4,1.2714646,0.8896723,22.31053,0.14027776494942004,2.40265143505058,1.433693808249929,1.1228862656857905,0.10467098004854036,0.15556908042485434,0.8953290199514596,35333,21919,12802,1694,35333,38,0.0386,1,0.0,0.657,0.86,13.8
5,1.0838865,0.4771016,37.03321,0.5667625166315999,1.6010104833684,1.1284328244621453,0.7852269862792318,0.045020983057373565,0.9549790169426264,0.7452289284784704,17420,338,9990,3097,17418,37,0.0394,1,0.0,0.773,0.67,14.47
6,1.6213702,0.6575603,24.37798,0.5552215248769401,2.6875188751230605,2.064539896831726,0.7972714440279308,0.06694514053753342,0.8091151619415348,1.0669451405375334,22246,11608,9203,1088,22246,37,0.0395,1,0.0,0.55,1.55,13.98
7,2.0774415,0.5069959,43.64693,1.0241871770101498,3.1306958229898503,2.994285481814835,0.8489321246135015,0.025982960366226715,1.0259829603662267,3.114034909452442,11970,3458,4363,544,11970,37,0.0394,2,0.032,0.935,1.64,13.66
8,1.7533776,0.4398616,42.03945,0.9821341234598401,2.52462107654016,2.3217378472787393,0.8144383631049924,0.015640807147084823,0.9843591928529152,2.5100364474381096,16378,3106,4557,336,16378,36,0.0408,2,0.032,0.906,1.34,12.98
9,1.2458036,0.3355178,13.33676,0.82781431689592,1.6637928831040798,1.3905108189981652,0.3887230018472194,0.06195861176967643,1.0619586117696764,1.1528966541312966,25671,375,16385,5531,25671,37,0.0393,1,0.0,0.654,0.78,14.77
10,1.7762319,0.6504315,39.82206,0.6209147209351499,2.93154907906485,2.3672792870260952,0.93916082008967,0.00031431563688411046,1.0504665975370564,1.000314315636884,10757,4540,2801,257,10757,38,0.0386,1,0.0,1.084,2.4,14.56
11,2.4391983,0.6118902,39.51172,0.9466767643733399,3.93171983562666,3.8095235529992837,0.8270380578319431,0.036195750527213466,3.66148411107719,0.9638042494727865,10877,4547,3321,318,10877,36,0.0407,1,0.0,0.72,1.03,12.5
12,2.5430471,0.6246302,0.44808,0.9545830813175799,4.13151111868242,4.055380474097104,0.3408650230918415,0.42877315725339904,1.428773157253399,1.695723519563432,16077,3463,4927,1064,16077,36,0.0405,2,0.034,0.749,2.9,11.47
13,2.1785708,0.7108614,2.52172,0.62990891111288,3.72723268888712,3.2155666632068702,0.68319845662055,0.023500591188402642,1.2022691250665256,0.9764994088115974,18745,4439,13376,4254,18745,36,0.0408,1,0.0,0.838,1.31,14.55
14,2.136714,0.574076,8.85374,0.910077773736,3.363350226264,3.1233423746955378,0.4083460198089816,0.03907038018238096,0.960929619817619,2.813170288099414,30868,428,16932,6793,30868,38,0.0384,3,0.05,0.566,2.94,12.5
15,2.7243079,0.6415852,13.83947,0.9764322711169201,4.47218352888308,4.496600295259262,0.4175296211173209,0.013353354239010962,4.26972880090327,0.986646645760989,5730,0,1665,144,5730,38,0.0386,4,0.017,0.795,5.4,14.54
16,2.2620457,0.5935572,23.15184,0.9193921880359599,3.6046992119640398,3.402139067419935,0.5762390025971306,0.007129625149317365,2.6869447073363535,1.0071296251493174,11979,5288,4236,1433,11979,37,0.0396,1,0.0,0.698,2.04,12.31
17,2.2301886,0.5419751,39.65677,1.02148191049614,3.4388952895038605,3.3305226173664906,0.7868669420780144,0.022857695991073124,1.0228576959910731,3.4233935437879857,12811,783,5756,2182,12811,38,0.0384,1,0.0,0.623,3.57,13.61
18,2.2052447,0.6598497,3.02961,0.7501146462784101,3.6603747537215905,3.274803006848003,0.5639093675324965,0.24466465289802974,3.5409467163804904,0.7553353471019703,10939,23,4331,571,10939,38,0.0386,2,0.078,0.583,3.03,13.32
19,1.9236716,0.6388452,10.7844,0.69474323196368,3.15259996803632,2.6680649648649353,0.619491972598084,0.005885524363906991,1.3321630940305393,0.994114475636093,10842,299,5084,1492,10842,37,0.0393,1,0.0,0.719,0.86,14.58
20,1.961768,0.4930609,5.31181,0.9944969043287999,2.9290390956712002,2.7477136371484523,0.2522649086305278,0.04965132133442407,2.5364930153074567,1.049651321334424,28215,9678,11550,4590,28215,38,0.0384,1,0.0,0.755,2.53,13.87
21,1.7597807,0.5788447,7.13333,0.7411409686427101,2.77842043135729,2.334467464514723,0.5338789161874705,0.0975415996679152,1.663607312021508,0.9024584003320848,10237,68,3096,267,10237,38,0.0384,2,0.051,0.891,2.57,14.62
22,2.1223157,0.653834,34.88704,0.7346735366061999,3.5099578633938004,3.091825539053706,0.8487945393731866,0.03937071676083925,1.0393707167608393,1.4621339192968439,6277,516,1672,217,6277,33,0.0438,2,0.077,0.891,3.39,13.08
23,2.8902616,0.8954152,24.285,0.30227743138368013,5.47824576861632,4.913667095095631,1.1287660065504952,0.1172374754159633,0.3852533460222949,1.1172374754159633,17084,1852,8516,2748,17084,36,0.0407,2,0.122,0.974,3.76,13.65
24,1.2900749,0.2993525,64.00427,0.90388775349775,1.67626204650225,1.4652859601392347,1.129090446789893,0.027699987860549724,1.0276999878605497,1.3701429056955055,10904,1402,3081,477,10904,38,0.0386,1,0.0,0.892,0.68,14.87
25,1.5415156,0.4059747,24.53703,0.91569926674468,2.16733193325532,1.9139116507043168,0.535635857296824,0.02391108903828343,0.9760889109617166,1.8904965796212745,12247,31,3491,592,12247,36,0.0407,2,0.059,0.97,2.75,14.28
26,0.8586365,0.6427473,19.2213,0.30675020794355,1.41052279205645,0.7956352557713102,0.7033993771807171,0.11340340421160577,0.35198504421178234,0.8865965957883942,14614,3294,6500,2007,14614,34,0.0429,1,0.0,0.598,0.92,14.5
27,1.7764915,0.4144802,60.6846,1.0401709477816998,2.5128120522183,2.3677982802020274,1.1177252138914258,0.04048377535649639,1.0404837753564964,2.5109882838104993,17611,798,5311,307,17611,37,0.0395,1,0.0,0.828,2.79,14.67
28,2.379216,0.5758477,5.87999,1.0091499385968001,3.7492820614032,3.6698710766676736,0.26617236444566145,0.010808341592413395,3.72656654818814,1.0108083415924134,26819,12590,12234,5097,26819,37,0.0393,1,0.0,0.209,1.22,12.46
29,1.8469723,0.5893724,51.3362,0.75841780281548,2.93552679718452,2.5100973963501163,1.0424657869386635,0.024283006873147217,0.9757169931268528,1.576537435000818,20280,4525,11745,3207,20280,37,0.0394,1,0.0,0.69,0.86,13.83
30,1.4707151,0.56018,6.35218,0.646849915282,2.294580284718,1.7835809581481306,0.568517883259554,0.1264772765619664,0.8735227234380336,1.1947812309892871,24264,8900,13755,5954,24264,38,0.0384,1,0.0,0.859,0.74,14.85
31,2.7060815,0.8582965,48.41215,0.38346121983524994,5.02870178016475,4.451550539477713,1.2287500582063777,0.10024546377973853,1.1002454637797385,0.5269270172972612,13879,4015,3994,1187,13879,34,0.0429,2,0.062,1.03,1.83,10.79
32,2.1329374,0.5261187,11.6234,1.01075914793062,3.25511565206938,3.1150653653626112,0.3132449841594286,0.0114399186147911,3.2480751186709185,1.011439918614791,14645,144,11264,3557,14645,36,0.0405,1,0.0,0.616,1.18,13.78
33,1.9713638,0.5537355,27.12971,0.8797496805250999,3.0629779194749003,2.767898536634553,0.641650365977081,0.05673095488795954,1.0567309548879595,1.93478995765835,9563,56,2291,544,9563,36,0.0407,1,0.0,0.91,1.4,12.49
34,2.626685,0.6307928,2.79844,0.969791014132,4.283578985868,4.25708175844157,0.3272841743944512,0.49137762933812934,1.683278790315695,1.4913776293381293,7519,1,5224,2215,7519,37,0.0397,2,0.056,0.865,1.22,14.14
35,1.1099069,0.292096,44.05781,0.7857075341376,1.4341062658623998,1.1693104392471376,0.8067574096256633,0.009998673920308843,1.0204744980776084,1.0099986739203088,34727,25426,19169,6667,34727,38,0.0386,1,0.0,0.775,0.84,14.91
36,2.7171262,0.784464,46.75042,0.5856385126431999,4.8486138873568,4.478831410280345,1.1095408961968962,0.057592389797158305,0.9424076102028417,1.1727859547522401,12262,549,2816,246,12262,37,0.0397,1,0.0,1.068,3.8,13.09
37,0.7532601,0.3398784,24.92726,0.49724326242815997,1.00927693757184,0.6537586458060702,0.43821885680463757,0.03157095747221628,0.9684290425277837,0.5077956171600124,16064,3446,10098,5635,16064,38,0.0384,1,0.0,0.699,1.4,14.54
38,2.1368372,0.5778302,9.53681,0.90210813335656,3.37156626664344,3.123612510048614,0.42295601858164567,0.01716063978910365,0.9828393602108964,2.5796309759635343,8512,1459,3840,1156,8512,38,0.0386,2,0.024,0.789,3.15,12.67
39,2.0053413,0.5700748,52.36973,0.86214675947076,3.14853584052924,2.8397652947556566,1.0395197118174628,0.05967770385194959,2.4152365679371535,0.9403222961480504,7808,56,2126,245,7808,35,0.0419,2,0.074,0.978,1.12,12.48
40,2.2749288,0.5664273,9.28064,0.9863470221237601,3.56351057787624,3.4312448755660925,0.32706774938015176,0.06642654825835104,1.066426548258351,2.8030596408618713,7117,458,2011,308,7117,36,0.0407,2,0.076,0.863,3.12,13.62
41,2.5345579,0.6190904,47.83485,0.9654374358658399,4.10367836413416,4.035090923276905,0.9627775685365766,0.03152444481389771,4.04967933169029,0.9684755551861023,17356,5462,6565,2536,17356,37,0.0394,1,0.0,0.897,3.3,11.4
42,1.0569542,0.3442881,25.15147,0.69305744669498,1.42085095330502,1.0866364109668516,0.5535858357560477,0.019030712683697937,1.019030712683698,0.858103395023664,32568,12426,9105,1551,32568,37,0.0396,1,0.0,0.601,1.03,14.41
43,2.1080611,0.7625195,11.62102,0.50062340405855,3.7154987959414503,3.0607283870380018,0.8279262661001259,0.15282412624138497,1.152824126241385,0.7146852473814622,16889,4374,2951,370,16889,35,0.0413,1,0.0,0.993,3.11,12.59
44,0.7615816,0.6016359,20.2845,0.30338676866055997,1.21977643133944,0.6646219254296563,0.6158346175240824,0.004087910828806773,0.9959120891711932,0.3213532492825439,18054,383,10281,2073,18054,38,0.0386,1,0.0,0.674,1.07,15.0
